openmp, cores, time, n, iterations, p, d, checksum
openmp, 1, 0.00201297, 200, 2, 0.05, 0.85, 1
openmp, 1, 0.00200701, 200, 2, 0.05, 0.85, 1
openmp, 1, 0.00204301, 200, 2, 0.05, 0.85, 1
openmp, 1, 0.00215697, 200, 2, 0.05, 0.85, 1
openmp, 1, 0.00195193, 200, 2, 0.05, 0.85, 1
openmp, 2, 0.00475597, 200, 11, 0.05, 0.85, 0.999512
openmp, 2, 0.00689888, 200, 16, 0.05, 0.85, 0.999937
openmp, 2, 0.00521088, 200, 12, 0.05, 0.85, 0.999799
openmp, 2, 0.00698495, 200, 16, 0.05, 0.85, 0.999948
openmp, 2, 0.00447798, 200, 10, 0.05, 0.85, 1.0002
openmp, 3, 0.00245023, 200, 6, 0.05, 0.85, 0.999246
openmp, 3, 0.00287294, 200, 9, 0.05, 0.85, 1.00128
openmp, 3, 0.00277495, 200, 7, 0.05, 0.85, 1.0002
openmp, 3, 0.00302601, 200, 7, 0.05, 0.85, 0.999189
openmp, 3, 0.00313997, 200, 7, 0.05, 0.85, 1.00018
openmp, 4, 0.00244212, 200, 7, 0.05, 0.85, 1.00005
openmp, 4, 0.00289702, 200, 6, 0.05, 0.85, 1.00052
openmp, 4, 0.00331116, 200, 7, 0.05, 0.85, 1.00086
openmp, 4, 0.00279021, 200, 7, 0.05, 0.85, 0.999064
openmp, 4, 0.00337815, 200, 7, 0.05, 0.85, 1.00126
openmp, 5, 0.00445104, 200, 7, 0.05, 0.85, 1.00009
openmp, 5, 0.00519395, 200, 7, 0.05, 0.85, 0.998753
openmp, 5, 0.00308084, 200, 7, 0.05, 0.85, 1.00055
openmp, 5, 0.00276089, 200, 7, 0.05, 0.85, 1.00031
openmp, 5, 0.00271511, 200, 7, 0.05, 0.85, 0.999501
openmp, 6, 0.00279403, 200, 7, 0.05, 0.85, 0.999489
openmp, 6, 0.00279498, 200, 7, 0.05, 0.85, 0.999822
openmp, 6, 0.00259781, 200, 7, 0.05, 0.85, 1.00025
openmp, 6, 0.00263405, 200, 7, 0.05, 0.85, 0.999265
openmp, 6, 0.00268102, 200, 6, 0.05, 0.85, 1.00048
openmp, 7, 0.00340009, 200, 9, 0.05, 0.85, 1.00166
openmp, 7, 0.00304198, 200, 7, 0.05, 0.85, 0.999583
openmp, 7, 0.00369596, 200, 6, 0.05, 0.85, 0.999291
openmp, 7, 0.00327706, 200, 7, 0.05, 0.85, 0.999875
openmp, 7, 0.00490594, 200, 6, 0.05, 0.85, 0.999233
openmp, 8, 0.0027709, 200, 7, 0.05, 0.85, 0.998919
openmp, 8, 0.00281119, 200, 7, 0.05, 0.85, 1.00004
openmp, 8, 0.00377202, 200, 7, 0.05, 0.85, 0.999743
openmp, 8, 0.00483704, 200, 7, 0.05, 0.85, 0.999927
openmp, 8, 0.00503588, 200, 7, 0.05, 0.85, 1.0019
openmp, 9, 0.00517583, 200, 7, 0.05, 0.85, 1.00072
openmp, 9, 0.00504994, 200, 7, 0.05, 0.85, 1.00067
openmp, 9, 0.00295115, 200, 6, 0.05, 0.85, 1.00037
openmp, 9, 0.00418806, 200, 7, 0.05, 0.85, 1.00007
openmp, 9, 0.00303602, 200, 7, 0.05, 0.85, 1.00061
openmp, 10, 0.00504494, 200, 7, 0.05, 0.85, 0.999575
openmp, 10, 0.00595593, 200, 7, 0.05, 0.85, 0.999841
openmp, 10, 0.00264788, 200, 7, 0.05, 0.85, 1.00017
openmp, 10, 0.00558019, 200, 7, 0.05, 0.85, 0.999419
openmp, 10, 0.0387189, 200, 7, 0.05, 0.85, 1.00038
openmp, 11, 0.207219, 200, 7, 0.05, 0.85, 0.999242
openmp, 11, 0.034941, 200, 7, 0.05, 0.85, 1.00064
openmp, 11, 0.00421405, 200, 7, 0.05, 0.85, 1.00024
openmp, 11, 0.00389504, 200, 7, 0.05, 0.85, 1.00206
openmp, 11, 0.0058918, 200, 7, 0.05, 0.85, 1.00012
openmp, 12, 0.00367999, 200, 7, 0.05, 0.85, 0.999582
openmp, 12, 0.00614595, 200, 7, 0.05, 0.85, 0.999177
openmp, 12, 0.00700188, 200, 7, 0.05, 0.85, 0.999056
openmp, 12, 0.00391197, 200, 7, 0.05, 0.85, 1.00005
openmp, 12, 0.00589204, 200, 7, 0.05, 0.85, 1.00022
openmp, 13, 0.00481176, 200, 7, 0.05, 0.85, 1.00132
openmp, 13, 0.00589299, 200, 7, 0.05, 0.85, 1.0001
openmp, 13, 0.00896502, 200, 7, 0.05, 0.85, 1.00038
openmp, 13, 0.00473094, 200, 6, 0.05, 0.85, 1.00054
openmp, 13, 0.00589204, 200, 7, 0.05, 0.85, 1.00005
openmp, 14, 0.00258493, 200, 6, 0.05, 0.85, 0.999785
openmp, 14, 0.004143, 200, 7, 0.05, 0.85, 1.00034
openmp, 14, 0.00480914, 200, 7, 0.05, 0.85, 0.999675
openmp, 14, 0.202322, 200, 7, 0.05, 0.85, 0.999876
openmp, 14, 0.00362682, 200, 7, 0.05, 0.85, 1.00088
openmp, 15, 0.0685, 200, 7, 0.05, 0.85, 0.99995
openmp, 15, 0.206387, 200, 7, 0.05, 0.85, 0.999734
openmp, 15, 0.206468, 200, 7, 0.05, 0.85, 1.00072
openmp, 15, 0.203175, 200, 7, 0.05, 0.85, 1.00019
openmp, 15, 0.0956042, 200, 7, 0.05, 0.85, 0.999397
openmp, 16, 0.00856185, 200, 7, 0.05, 0.85, 0.99927
openmp, 16, 0.00613999, 200, 7, 0.05, 0.85, 1.00007
openmp, 16, 0.00672603, 200, 7, 0.05, 0.85, 0.99992
openmp, 16, 0.00702, 200, 7, 0.05, 0.85, 0.998955
openmp, 16, 0.010864, 200, 7, 0.05, 0.85, 0.999521
openmp, 17, 0.0955801, 200, 7, 0.05, 0.85, 1.00021
openmp, 17, 0.0121362, 200, 7, 0.05, 0.85, 1.00068
openmp, 17, 0.00576591, 200, 6, 0.05, 0.85, 1.00036
openmp, 17, 0.00490808, 200, 7, 0.05, 0.85, 1.00011
openmp, 17, 0.00891089, 200, 7, 0.05, 0.85, 1.0001
openmp, 18, 0.00975704, 200, 7, 0.05, 0.85, 1.00033
openmp, 18, 0.00982285, 200, 7, 0.05, 0.85, 0.999906
openmp, 18, 0.0106959, 200, 7, 0.05, 0.85, 1.00007
