openmp, cores, time, n, iterations, p, d, checksum
openmp, 1, 3.0411, 20000, 2, 0.05, 0.85, 1
openmp, 1, 3.01644, 20000, 2, 0.05, 0.85, 1
openmp, 1, 3.01352, 20000, 2, 0.05, 0.85, 1
openmp, 1, 2.98724, 20000, 2, 0.05, 0.85, 1
openmp, 1, 3.03216, 20000, 2, 0.05, 0.85, 1
openmp, 2, 5.79288, 20000, 3, 0.05, 0.85, 1
openmp, 2, 5.50955, 20000, 3, 0.05, 0.85, 1
openmp, 2, 6.32874, 20000, 3, 0.05, 0.85, 0.999999
openmp, 2, 5.73794, 20000, 3, 0.05, 0.85, 0.999997
openmp, 2, 6.61252, 20000, 3, 0.05, 0.85, 0.999997
openmp, 3, 2.90035, 20000, 3, 0.05, 0.85, 0.999995
openmp, 3, 3.43735, 20000, 3, 0.05, 0.85, 1
openmp, 3, 3.40939, 20000, 3, 0.05, 0.85, 1
openmp, 3, 3.31184, 20000, 3, 0.05, 0.85, 1
openmp, 3, 4.08057, 20000, 3, 0.05, 0.85, 1
openmp, 4, 2.29174, 20000, 3, 0.05, 0.85, 1
openmp, 4, 2.2081, 20000, 3, 0.05, 0.85, 1
openmp, 4, 2.3915, 20000, 3, 0.05, 0.85, 0.999998
openmp, 4, 2.62521, 20000, 3, 0.05, 0.85, 0.999998
openmp, 4, 2.22466, 20000, 3, 0.05, 0.85, 0.999999
openmp, 5, 2.45993, 20000, 3, 0.05, 0.85, 1
openmp, 5, 2.18304, 20000, 3, 0.05, 0.85, 0.999999
openmp, 5, 2.08422, 20000, 3, 0.05, 0.85, 0.999998
openmp, 5, 2.17152, 20000, 3, 0.05, 0.85, 0.999999
openmp, 5, 2.02941, 20000, 3, 0.05, 0.85, 0.999998
openmp, 6, 2.05953, 20000, 3, 0.05, 0.85, 1
openmp, 6, 1.99257, 20000, 3, 0.05, 0.85, 0.999999
openmp, 6, 1.99926, 20000, 3, 0.05, 0.85, 1
openmp, 6, 1.9793, 20000, 3, 0.05, 0.85, 1
openmp, 6, 2.07898, 20000, 3, 0.05, 0.85, 1
openmp, 7, 1.8532, 20000, 3, 0.05, 0.85, 0.999999
openmp, 7, 1.87168, 20000, 3, 0.05, 0.85, 1
openmp, 7, 1.99919, 20000, 3, 0.05, 0.85, 1
openmp, 7, 2.05868, 20000, 3, 0.05, 0.85, 1
openmp, 7, 1.94068, 20000, 3, 0.05, 0.85, 0.999998
openmp, 8, 1.90876, 20000, 3, 0.05, 0.85, 1
openmp, 8, 1.90351, 20000, 3, 0.05, 0.85, 0.999999
openmp, 8, 1.75579, 20000, 3, 0.05, 0.85, 1
openmp, 8, 1.66037, 20000, 3, 0.05, 0.85, 1
openmp, 8, 1.71876, 20000, 3, 0.05, 0.85, 0.999999
openmp, 9, 1.75212, 20000, 3, 0.05, 0.85, 0.999998
openmp, 9, 1.7876, 20000, 3, 0.05, 0.85, 1
openmp, 9, 1.82621, 20000, 3, 0.05, 0.85, 0.999999
openmp, 9, 1.68859, 20000, 3, 0.05, 0.85, 0.999998
openmp, 9, 1.70722, 20000, 3, 0.05, 0.85, 0.999998
openmp, 10, 1.8174, 20000, 3, 0.05, 0.85, 0.999999
openmp, 10, 1.92885, 20000, 3, 0.05, 0.85, 0.999997
openmp, 10, 1.83398, 20000, 3, 0.05, 0.85, 1
openmp, 10, 1.80036, 20000, 3, 0.05, 0.85, 1
openmp, 10, 1.78771, 20000, 3, 0.05, 0.85, 0.999999
openmp, 11, 1.6049, 20000, 3, 0.05, 0.85, 1
openmp, 11, 1.70628, 20000, 3, 0.05, 0.85, 1
openmp, 11, 1.90248, 20000, 3, 0.05, 0.85, 1
openmp, 11, 1.77887, 20000, 3, 0.05, 0.85, 1
openmp, 11, 1.77603, 20000, 3, 0.05, 0.85, 0.999999
openmp, 12, 1.916, 20000, 3, 0.05, 0.85, 1
