openmp, cores, time, n, iterations, p, d, checksum
openmp, 1, 0.157063, 4000, 2, 0.05, 0.85, 1
openmp, 1, 0.150294, 4000, 2, 0.05, 0.85, 1
openmp, 1, 0.150317, 4000, 2, 0.05, 0.85, 1
openmp, 1, 0.150213, 4000, 2, 0.05, 0.85, 1
openmp, 1, 0.145771, 4000, 2, 0.05, 0.85, 1
openmp, 2, 0.897936, 5656, 4, 0.05, 0.85, 0.999997
openmp, 2, 0.631817, 5656, 3, 0.05, 0.85, 0.99998
openmp, 2, 0.392014, 5656, 3, 0.05, 0.85, 1
openmp, 2, 0.536245, 5656, 3, 0.05, 0.85, 0.999986
openmp, 2, 0.619273, 5656, 3, 0.05, 0.85, 1.00002
openmp, 3, 0.509311, 6928, 3, 0.05, 0.85, 0.99999
openmp, 3, 0.791362, 6928, 3, 0.05, 0.85, 1.00001
openmp, 3, 0.481766, 6928, 3, 0.05, 0.85, 0.999999
openmp, 3, 0.467144, 6928, 3, 0.05, 0.85, 0.999996
openmp, 3, 0.467483, 6928, 3, 0.05, 0.85, 0.999999
openmp, 4, 0.427517, 8000, 3, 0.05, 0.85, 0.999993
openmp, 4, 0.464496, 8000, 3, 0.05, 0.85, 1
openmp, 4, 0.43291, 8000, 3, 0.05, 0.85, 0.999991
openmp, 4, 0.462511, 8000, 3, 0.05, 0.85, 1
openmp, 4, 0.441795, 8000, 3, 0.05, 0.85, 0.999999
openmp, 5, 0.451741, 8944, 3, 0.05, 0.85, 1.00001
openmp, 5, 0.495924, 8944, 3, 0.05, 0.85, 1
openmp, 5, 0.436646, 8944, 3, 0.05, 0.85, 0.999995
openmp, 5, 0.556622, 8944, 3, 0.05, 0.85, 0.999988
openmp, 5, 0.496606, 8944, 3, 0.05, 0.85, 0.999993
openmp, 6, 0.669624, 9797, 3, 0.05, 0.85, 0.999996
openmp, 6, 0.527078, 9797, 3, 0.05, 0.85, 0.999997
openmp, 6, 0.444701, 9797, 3, 0.05, 0.85, 1
openmp, 6, 0.557163, 9797, 3, 0.05, 0.85, 1
openmp, 6, 0.496837, 9797, 3, 0.05, 0.85, 0.999994
openmp, 7, 0.534921, 10583, 3, 0.05, 0.85, 0.999999
openmp, 7, 0.574011, 10583, 3, 0.05, 0.85, 0.999992
openmp, 7, 0.524916, 10583, 3, 0.05, 0.85, 1
openmp, 7, 0.610115, 10583, 3, 0.05, 0.85, 1
openmp, 7, 0.586256, 10583, 3, 0.05, 0.85, 0.999999
openmp, 8, 0.684285, 11313, 3, 0.05, 0.85, 1
openmp, 8, 0.681526, 11313, 3, 0.05, 0.85, 0.999998
openmp, 8, 0.648917, 11313, 3, 0.05, 0.85, 0.999995
openmp, 8, 0.68017, 11313, 3, 0.05, 0.85, 0.999993
openmp, 8, 0.638933, 11313, 3, 0.05, 0.85, 0.999999
openmp, 9, 0.682469, 12000, 3, 0.05, 0.85, 1
openmp, 9, 0.685135, 12000, 3, 0.05, 0.85, 1
openmp, 9, 0.710906, 12000, 3, 0.05, 0.85, 1
openmp, 9, 0.729543, 12000, 3, 0.05, 0.85, 0.999998
openmp, 9, 0.590659, 12000, 3, 0.05, 0.85, 1
openmp, 10, 0.701933, 12649, 3, 0.05, 0.85, 1
openmp, 10, 0.805361, 12649, 3, 0.05, 0.85, 0.999997
openmp, 10, 0.827323, 12649, 3, 0.05, 0.85, 1
openmp, 10, 0.683312, 12649, 3, 0.05, 0.85, 1
openmp, 10, 0.73983, 12649, 3, 0.05, 0.85, 1
openmp, 11, 0.77004, 13266, 3, 0.05, 0.85, 0.999998
openmp, 11, 0.992868, 13266, 3, 0.05, 0.85, 1
