openmp, cores, time, n, iterations, p, d, checksum
openmp, 1, 0.00213695, 200, 2, 0.05, 0.85, 1
openmp, 1, 0.00196218, 200, 2, 0.05, 0.85, 1
openmp, 1, 0.00184798, 200, 2, 0.05, 0.85, 1
openmp, 1, 0.00195599, 200, 2, 0.05, 0.85, 1
openmp, 1, 0.002002, 200, 2, 0.05, 0.85, 1
openmp, 2, 0.00732589, 200, 19, 0.05, 0.85, 0.999987
openmp, 2, 0.0071981, 200, 18, 0.05, 0.85, 0.999981
openmp, 2, 0.00605702, 200, 15, 0.05, 0.85, 1.00008
openmp, 2, 0.00699091, 200, 18, 0.05, 0.85, 0.999968
openmp, 2, 0.00689006, 200, 17, 0.05, 0.85, 0.99997
openmp, 3, 0.00342679, 200, 7, 0.05, 0.85, 1.00032
openmp, 3, 0.00283504, 200, 7, 0.05, 0.85, 1.00012
openmp, 3, 0.00453711, 200, 9, 0.05, 0.85, 1.00109
openmp, 3, 0.00291109, 200, 8, 0.05, 0.85, 1.00028
openmp, 3, 0.00331092, 200, 8, 0.05, 0.85, 0.999184
openmp, 4, 0.00281405, 200, 7, 0.05, 0.85, 0.999912
openmp, 4, 0.00280905, 200, 8, 0.05, 0.85, 0.998849
openmp, 4, 0.00295711, 200, 7, 0.05, 0.85, 0.999629
openmp, 4, 0.00498104, 200, 7, 0.05, 0.85, 0.999325
openmp, 4, 0.0030508, 200, 7, 0.05, 0.85, 0.999752
openmp, 5, 0.00310397, 200, 7, 0.05, 0.85, 1.0014
openmp, 5, 0.00310898, 200, 7, 0.05, 0.85, 1.00117
openmp, 5, 0.002985, 200, 7, 0.05, 0.85, 1.00139
openmp, 5, 0.00352407, 200, 8, 0.05, 0.85, 1.00155
openmp, 5, 0.00359106, 200, 8, 0.05, 0.85, 1.00038
openmp, 6, 0.00332999, 200, 7, 0.05, 0.85, 0.999942
openmp, 6, 0.0034399, 200, 8, 0.05, 0.85, 1.00143
openmp, 6, 0.00364304, 200, 9, 0.05, 0.85, 1.0013
openmp, 6, 0.00310588, 200, 7, 0.05, 0.85, 1.00121
openmp, 6, 0.00350904, 200, 7, 0.05, 0.85, 1.00098
openmp, 7, 0.00362611, 200, 7, 0.05, 0.85, 0.999935
openmp, 7, 0.00440693, 200, 7, 0.05, 0.85, 1.0011
openmp, 7, 0.00308609, 200, 7, 0.05, 0.85, 0.999609
openmp, 7, 0.00376606, 200, 11, 0.05, 0.85, 1.00123
openmp, 7, 0.00316381, 200, 7, 0.05, 0.85, 0.999157
openmp, 8, 0.202093, 200, 8, 0.05, 0.85, 1.00123
openmp, 8, 0.00375199, 200, 7, 0.05, 0.85, 0.999957
openmp, 8, 0.00517583, 200, 7, 0.05, 0.85, 1.00096
openmp, 8, 0.010087, 200, 22, 0.05, 0.85, 1.00045
openmp, 8, 0.00393105, 200, 7, 0.05, 0.85, 1.00051
openmp, 9, 0.00354505, 200, 8, 0.05, 0.85, 1.00081
openmp, 9, 0.00789094, 200, 7, 0.05, 0.85, 1.00132
openmp, 9, 0.00590086, 200, 8, 0.05, 0.85, 1.00168
openmp, 9, 0.00617504, 200, 7, 0.05, 0.85, 1.00141
openmp, 9, 0.00324202, 200, 7, 0.05, 0.85, 0.999655
openmp, 10, 0.00953484, 200, 17, 0.05, 0.85, 1.00089
openmp, 10, 0.00414109, 200, 8, 0.05, 0.85, 1.00124
openmp, 10, 0.00600004, 200, 8, 0.05, 0.85, 1.00108
openmp, 10, 0.0087781, 200, 7, 0.05, 0.85, 1.00098
openmp, 10, 0.00710297, 200, 7, 0.05, 0.85, 1.00059
openmp, 11, 0.00531101, 200, 10, 0.05, 0.85, 1.00148
openmp, 11, 0.00416899, 200, 7, 0.05, 0.85, 1.00011
openmp, 11, 0.00415301, 200, 7, 0.05, 0.85, 1.00048
openmp, 11, 0.00397301, 200, 7, 0.05, 0.85, 0.999869
openmp, 11, 0.00368094, 200, 8, 0.05, 0.85, 1.00043
openmp, 12, 0.00431108, 200, 7, 0.05, 0.85, 0.999986
openmp, 12, 0.00646806, 200, 8, 0.05, 0.85, 1.00068
openmp, 12, 0.00447202, 200, 7, 0.05, 0.85, 1.00119
openmp, 12, 0.00630903, 200, 8, 0.05, 0.85, 1.00145
openmp, 12, 0.00576496, 200, 7, 0.05, 0.85, 1.0012
openmp, 13, 0.00910187, 200, 7, 0.05, 0.85, 1.00109
openmp, 13, 0.00597191, 200, 7, 0.05, 0.85, 0.999697
openmp, 13, 0.00814605, 200, 8, 0.05, 0.85, 1.00055
openmp, 13, 0.00854301, 200, 8, 0.05, 0.85, 1.00095
openmp, 13, 0.202462, 200, 7, 0.05, 0.85, 1.00081
openmp, 14, 0.00600791, 200, 7, 0.05, 0.85, 1.00081
openmp, 14, 0.00626397, 200, 8, 0.05, 0.85, 1.00178
openmp, 14, 0.0115459, 200, 7, 0.05, 0.85, 1.00084
openmp, 14, 0.00682306, 200, 7, 0.05, 0.85, 1.00068
openmp, 14, 0.00959992, 200, 7, 0.05, 0.85, 0.999693
openmp, 15, 0.0140028, 200, 24, 0.05, 0.85, 1.00041
openmp, 15, 0.00997615, 200, 7, 0.05, 0.85, 1.00089
openmp, 15, 0.014688, 200, 7, 0.05, 0.85, 1.00026
openmp, 15, 0.0130291, 200, 8, 0.05, 0.85, 1.00097
openmp, 15, 0.0204778, 200, 7, 0.05, 0.85, 1.00126
openmp, 16, 0.0216029, 200, 18, 0.05, 0.85, 1.00082
openmp, 16, 0.00499415, 200, 7, 0.05, 0.85, 1.00071
openmp, 16, 0.00679088, 200, 7, 0.05, 0.85, 1.0008
openmp, 16, 0.00589418, 200, 7, 0.05, 0.85, 1.00071
openmp, 16, 0.202326, 200, 7, 0.05, 0.85, 1.00014
openmp, 17, 0.0112929, 200, 7, 0.05, 0.85, 1.00011
openmp, 17, 0.0118711, 200, 7, 0.05, 0.85, 1.00057
openmp, 17, 0.0091238, 200, 8, 0.05, 0.85, 1.00129
openmp, 17, 0.0066011, 200, 7, 0.05, 0.85, 1.00022
openmp, 17, 0.00574207, 200, 8, 0.05, 0.85, 1.00113
openmp, 18, 0.0105228, 200, 7, 0.05, 0.85, 0.999949
openmp, 18, 0.0097661, 200, 7, 0.05, 0.85, 1.00034
openmp, 18, 0.201239, 200, 7, 0.05, 0.85, 1.00128
openmp, 18, 0.0102701, 200, 7, 0.05, 0.85, 1.00135
openmp, 18, 0.00698519, 200, 8, 0.05, 0.85, 1.00133
openmp, 19, 0.0132082, 200, 7, 0.05, 0.85, 0.999602
openmp, 19, 0.011683, 200, 7, 0.05, 0.85, 1.00038
openmp, 19, 0.00781393, 200, 13, 0.05, 0.85, 1.0016
openmp, 19, 0.0109429, 200, 7, 0.05, 0.85, 1.00063
openmp, 19, 0.027669, 200, 7, 0.05, 0.85, 0.999829
openmp, 20, 0.138083, 200, 7, 0.05, 0.85, 1.00034
openmp, 20, 0.201378, 200, 7, 0.05, 0.85, 1.0006
openmp, 20, 0.034842, 200, 7, 0.05, 0.85, 1.00012
openmp, 20, 0.013875, 200, 8, 0.05, 0.85, 1.00106
openmp, 20, 0.126996, 200, 7, 0.05, 0.85, 1.00087
openmp, 21, 0.011539, 200, 7, 0.05, 0.85, 0.999538
openmp, 21, 0.0115099, 200, 7, 0.05, 0.85, 1.0004
openmp, 21, 0.132993, 200, 7, 0.05, 0.85, 1.00103
openmp, 21, 0.017422, 200, 8, 0.05, 0.85, 1.00132
openmp, 21, 0.133077, 200, 7, 0.05, 0.85, 1.00045
