openmp, cores, time, n, iterations, p, d, checksum
openmp, 1, 0.00213695, 200, 2, 0.05, 0.85, 1
openmp, 1, 0.00206614, 200, 2, 0.05, 0.85, 1
openmp, 1, 0.00183201, 200, 2, 0.05, 0.85, 1
openmp, 1, 0.00213289, 200, 2, 0.05, 0.85, 1
openmp, 1, 0.00196218, 200, 2, 0.05, 0.85, 1
openmp, 2, 0.0118899, 282, 17, 0.05, 0.85, 0.999999
openmp, 2, 0.0048449, 282, 7, 0.05, 0.85, 1.00007
openmp, 2, 0.00910902, 282, 14, 0.05, 0.85, 0.99984
openmp, 2, 0.00624299, 282, 9, 0.05, 0.85, 0.999804
openmp, 2, 0.00759506, 282, 12, 0.05, 0.85, 1.00013
openmp, 3, 0.00451803, 346, 6, 0.05, 0.85, 1.00032
openmp, 3, 0.00432706, 346, 6, 0.05, 0.85, 0.998787
openmp, 3, 0.004812, 346, 7, 0.05, 0.85, 1.0002
openmp, 3, 0.00438213, 346, 6, 0.05, 0.85, 1.0008
openmp, 3, 0.00462008, 346, 6, 0.05, 0.85, 1.00023
openmp, 4, 0.0035131, 400, 5, 0.05, 0.85, 1.00022
openmp, 4, 0.00377584, 400, 6, 0.05, 0.85, 0.999101
openmp, 4, 0.00369, 400, 6, 0.05, 0.85, 0.999496
openmp, 4, 0.00487804, 400, 5, 0.05, 0.85, 1.00006
openmp, 4, 0.00366402, 400, 5, 0.05, 0.85, 1.00001
openmp, 5, 0.00463486, 447, 5, 0.05, 0.85, 1.00001
openmp, 5, 0.00340486, 447, 5, 0.05, 0.85, 0.99996
openmp, 5, 0.0053699, 447, 5, 0.05, 0.85, 1.00035
openmp, 5, 0.00335789, 447, 5, 0.05, 0.85, 1.00022
openmp, 5, 0.00416398, 447, 5, 0.05, 0.85, 0.999517
openmp, 6, 0.00436711, 489, 5, 0.05, 0.85, 1.00001
openmp, 6, 0.00467896, 489, 5, 0.05, 0.85, 0.999665
openmp, 6, 0.00457501, 489, 5, 0.05, 0.85, 0.999622
openmp, 6, 0.00398397, 489, 5, 0.05, 0.85, 0.999313
openmp, 6, 0.00433397, 489, 5, 0.05, 0.85, 1.00007
openmp, 7, 0.00517082, 529, 5, 0.05, 0.85, 0.999868
openmp, 7, 0.0053699, 529, 5, 0.05, 0.85, 0.999702
openmp, 7, 0.00478411, 529, 5, 0.05, 0.85, 1.00001
openmp, 7, 0.00470996, 529, 5, 0.05, 0.85, 0.99988
openmp, 7, 0.00675797, 529, 5, 0.05, 0.85, 1.00012
openmp, 8, 0.00753593, 565, 5, 0.05, 0.85, 0.999931
openmp, 8, 0.00469613, 565, 5, 0.05, 0.85, 0.999683
openmp, 8, 0.0168161, 565, 5, 0.05, 0.85, 0.99984
openmp, 8, 0.00472689, 565, 5, 0.05, 0.85, 1.00003
openmp, 8, 0.00596905, 565, 5, 0.05, 0.85, 0.999733
openmp, 9, 0.00614595, 600, 5, 0.05, 0.85, 0.999803
openmp, 9, 0.00583601, 600, 5, 0.05, 0.85, 1.00006
openmp, 9, 0.00505495, 600, 5, 0.05, 0.85, 1.00012
openmp, 9, 0.00984502, 600, 5, 0.05, 0.85, 0.999943
openmp, 9, 0.00605512, 600, 5, 0.05, 0.85, 1.00003
openmp, 10, 0.00482202, 632, 5, 0.05, 0.85, 1.00011
openmp, 10, 0.005651, 632, 5, 0.05, 0.85, 0.999852
openmp, 10, 0.005229, 632, 5, 0.05, 0.85, 1.00009
openmp, 10, 0.00623894, 632, 5, 0.05, 0.85, 0.999949
openmp, 10, 0.00534511, 632, 5, 0.05, 0.85, 0.999993
openmp, 11, 0.00620985, 663, 5, 0.05, 0.85, 0.999572
openmp, 11, 0.00751901, 663, 5, 0.05, 0.85, 1
openmp, 11, 0.00896978, 663, 5, 0.05, 0.85, 0.999888
openmp, 11, 0.00820899, 663, 5, 0.05, 0.85, 1.00015
openmp, 11, 0.00812697, 663, 5, 0.05, 0.85, 0.999891
openmp, 12, 0.0060761, 692, 5, 0.05, 0.85, 0.999931
openmp, 12, 0.00522709, 692, 5, 0.05, 0.85, 0.999804
openmp, 12, 0.00569797, 692, 5, 0.05, 0.85, 0.999971
openmp, 12, 0.00820684, 692, 5, 0.05, 0.85, 0.999973
openmp, 12, 0.010946, 692, 5, 0.05, 0.85, 0.999883
openmp, 13, 0.00651407, 721, 5, 0.05, 0.85, 0.99992
openmp, 13, 0.00757504, 721, 5, 0.05, 0.85, 0.99991
openmp, 13, 0.00815296, 721, 5, 0.05, 0.85, 1.00002
openmp, 13, 0.00552201, 721, 5, 0.05, 0.85, 0.999944
openmp, 13, 0.00568914, 721, 5, 0.05, 0.85, 0.999891
openmp, 14, 0.006217, 748, 5, 0.05, 0.85, 0.999978
openmp, 14, 0.00642014, 748, 5, 0.05, 0.85, 0.999886
openmp, 14, 0.0066011, 748, 5, 0.05, 0.85, 0.999926
openmp, 14, 0.015507, 748, 5, 0.05, 0.85, 0.999956
openmp, 14, 0.00718021, 748, 5, 0.05, 0.85, 1.00005
openmp, 15, 0.00568318, 774, 4, 0.05, 0.85, 0.999986
openmp, 15, 0.00693297, 774, 4, 0.05, 0.85, 1.00005
openmp, 15, 0.00855994, 774, 5, 0.05, 0.85, 1.00007
openmp, 15, 0.00594306, 774, 5, 0.05, 0.85, 0.999865
openmp, 15, 0.00799298, 774, 5, 0.05, 0.85, 0.999883
openmp, 16, 0.00690508, 800, 5, 0.05, 0.85, 1.00007
openmp, 16, 0.0293708, 800, 5, 0.05, 0.85, 0.999886
openmp, 16, 0.0117669, 800, 4, 0.05, 0.85, 1.00007
openmp, 16, 0.159445, 800, 5, 0.05, 0.85, 0.999858
openmp, 16, 0.145884, 800, 5, 0.05, 0.85, 0.999878
openmp, 17, 0.193527, 824, 4, 0.05, 0.85, 0.999903
openmp, 17, 0.191782, 824, 4, 0.05, 0.85, 0.999881
openmp, 17, 0.20304, 824, 5, 0.05, 0.85, 1.00001
openmp, 17, 0.086035, 824, 4, 0.05, 0.85, 0.999942
openmp, 17, 0.00847507, 824, 5, 0.05, 0.85, 0.99989
openmp, 18, 0.010061, 848, 5, 0.05, 0.85, 0.999981
openmp, 18, 0.00721812, 848, 5, 0.05, 0.85, 0.999912
openmp, 18, 0.013823, 848, 4, 0.05, 0.85, 0.999786
openmp, 18, 0.0121012, 848, 4, 0.05, 0.85, 1.00009
openmp, 18, 0.00844383, 848, 4, 0.05, 0.85, 1
openmp, 19, 0.00982308, 871, 4, 0.05, 0.85, 0.999995
openmp, 19, 0.00904799, 871, 4, 0.05, 0.85, 0.999905
openmp, 19, 0.014329, 871, 5, 0.05, 0.85, 0.999998
openmp, 19, 0.0103159, 871, 5, 0.05, 0.85, 1
openmp, 19, 0.00731802, 871, 4, 0.05, 0.85, 0.999999
openmp, 20, 0.201942, 894, 4, 0.05, 0.85, 0.999926
openmp, 20, 0.0125031, 894, 4, 0.05, 0.85, 0.999847
openmp, 20, 0.124545, 894, 4, 0.05, 0.85, 1.00002
openmp, 20, 0.0115819, 894, 4, 0.05, 0.85, 1
openmp, 20, 0.010906, 894, 5, 0.05, 0.85, 1.00001
openmp, 21, 0.146076, 916, 4, 0.05, 0.85, 1.00005
openmp, 21, 0.160583, 916, 4, 0.05, 0.85, 1.00006
openmp, 21, 0.107099, 916, 4, 0.05, 0.85, 0.999934
openmp, 21, 0.00727701, 916, 4, 0.05, 0.85, 0.999976
openmp, 21, 0.159617, 916, 4, 0.05, 0.85, 0.999999
openmp, 22, 0.0138328, 938, 4, 0.05, 0.85, 0.99996
openmp, 22, 0.149841, 938, 4, 0.05, 0.85, 1.00006
openmp, 22, 0.202385, 938, 4, 0.05, 0.85, 1.00003
openmp, 22, 0.00968218, 938, 4, 0.05, 0.85, 0.999929
openmp, 22, 0.160278, 938, 4, 0.05, 0.85, 0.999989
openmp, 23, 0.141163, 959, 4, 0.05, 0.85, 0.999998
openmp, 23, 0.141202, 959, 4, 0.05, 0.85, 0.999927
openmp, 23, 0.202251, 959, 4, 0.05, 0.85, 0.999951
openmp, 23, 0.133287, 959, 4, 0.05, 0.85, 1.00001
openmp, 23, 0.175918, 959, 4, 0.05, 0.85, 0.999945
openmp, 24, 0.1504, 979, 4, 0.05, 0.85, 0.999951
openmp, 24, 0.146975, 979, 4, 0.05, 0.85, 0.999931
openmp, 24, 0.13487, 979, 4, 0.05, 0.85, 1.00006
openmp, 24, 0.161999, 979, 4, 0.05, 0.85, 0.999956
openmp, 24, 0.160134, 979, 4, 0.05, 0.85, 1.00001
