openmp, cores, time, n, iterations, p, d, checksum
openmp, 1, 0.00239801, 200, 2, 0.05, 0.85, 1
openmp, 1, 0.00198007, 200, 2, 0.05, 0.85, 1
openmp, 1, 0.00198698, 200, 2, 0.05, 0.85, 1
openmp, 1, 0.00201702, 200, 2, 0.05, 0.85, 1
openmp, 1, 0.0018568, 200, 2, 0.05, 0.85, 1
openmp, 2, 0.00970483, 282, 14, 0.05, 0.85, 0.99997
openmp, 2, 0.00844908, 282, 13, 0.05, 0.85, 0.999894
openmp, 2, 0.0102179, 282, 15, 0.05, 0.85, 0.999977
openmp, 2, 0.00987196, 282, 14, 0.05, 0.85, 1.00005
openmp, 2, 0.0119002, 282, 18, 0.05, 0.85, 0.999976
openmp, 3, 0.00419712, 346, 6, 0.05, 0.85, 0.99984
openmp, 3, 0.00408196, 346, 5, 0.05, 0.85, 1.00035
openmp, 3, 0.00392413, 346, 6, 0.05, 0.85, 0.999278
openmp, 3, 0.00431991, 346, 6, 0.05, 0.85, 0.999409
openmp, 3, 0.00500393, 346, 7, 0.05, 0.85, 0.999226
openmp, 4, 0.00330091, 400, 5, 0.05, 0.85, 1.00036
openmp, 4, 0.00391197, 400, 5, 0.05, 0.85, 1.00031
openmp, 4, 0.00386906, 400, 6, 0.05, 0.85, 0.999359
openmp, 4, 0.00352216, 400, 5, 0.05, 0.85, 0.999894
openmp, 4, 0.00369906, 400, 6, 0.05, 0.85, 0.999785
openmp, 5, 0.00476503, 447, 5, 0.05, 0.85, 1.00019
openmp, 5, 0.00447178, 447, 5, 0.05, 0.85, 0.999983
openmp, 5, 0.00333905, 447, 5, 0.05, 0.85, 1.00023
openmp, 5, 0.00445485, 447, 5, 0.05, 0.85, 1.00008
openmp, 5, 0.0044539, 447, 5, 0.05, 0.85, 0.999744
openmp, 6, 0.00444603, 489, 5, 0.05, 0.85, 1.00037
openmp, 6, 0.00455379, 489, 5, 0.05, 0.85, 0.999884
openmp, 6, 0.00466418, 489, 5, 0.05, 0.85, 0.999997
openmp, 6, 0.00566292, 489, 5, 0.05, 0.85, 1.00015
openmp, 6, 0.00408697, 489, 5, 0.05, 0.85, 0.999802
openmp, 7, 0.00796103, 529, 5, 0.05, 0.85, 0.999989
openmp, 7, 0.00887585, 529, 5, 0.05, 0.85, 0.999465
openmp, 7, 0.00448394, 529, 5, 0.05, 0.85, 1.00019
openmp, 7, 0.00492406, 529, 5, 0.05, 0.85, 0.999574
openmp, 7, 0.0101252, 529, 5, 0.05, 0.85, 1.00003
openmp, 8, 0.0391819, 565, 5, 0.05, 0.85, 0.999787
openmp, 8, 0.00521803, 565, 5, 0.05, 0.85, 0.999904
openmp, 8, 0.00572991, 565, 5, 0.05, 0.85, 0.999624
openmp, 8, 0.00625896, 565, 5, 0.05, 0.85, 0.999879
openmp, 8, 0.00546384, 565, 5, 0.05, 0.85, 0.999636
openmp, 9, 0.00675488, 600, 5, 0.05, 0.85, 0.999746
openmp, 9, 0.00808311, 600, 5, 0.05, 0.85, 0.999704
openmp, 9, 0.00476813, 600, 5, 0.05, 0.85, 0.99986
openmp, 9, 0.00847602, 600, 5, 0.05, 0.85, 1.00018
openmp, 9, 0.010015, 600, 5, 0.05, 0.85, 0.999846
openmp, 10, 0.00577712, 632, 5, 0.05, 0.85, 0.999723
