openmp, cores, time, n, iterations, p, d, checksum
openmp, 1, 0.00490904, 200, 11, 0.05, 0.85, 1
openmp, 1, 0.00393605, 200, 9, 0.05, 0.85, 1
openmp, 1, 0.004457, 200, 11, 0.05, 0.85, 1
openmp, 1, 0.00470281, 200, 12, 0.05, 0.85, 1
openmp, 1, 0.00446796, 200, 11, 0.05, 0.85, 1
openmp, 2, 0.00296307, 200, 12, 0.05, 0.85, 1
openmp, 2, 0.00286317, 200, 11, 0.05, 0.85, 1
openmp, 2, 0.00290704, 200, 11, 0.05, 0.85, 1
openmp, 2, 0.00300908, 200, 11, 0.05, 0.85, 1
openmp, 2, 0.00305009, 200, 11, 0.05, 0.85, 1
openmp, 3, 0.00241613, 200, 11, 0.05, 0.85, 1
openmp, 3, 0.00356197, 200, 11, 0.05, 0.85, 1
openmp, 3, 0.00248885, 200, 12, 0.05, 0.85, 1
openmp, 3, 0.0022459, 200, 11, 0.05, 0.85, 1
openmp, 3, 0.00246906, 200, 12, 0.05, 0.85, 1
openmp, 4, 0.00208807, 200, 12, 0.05, 0.85, 1
openmp, 4, 0.00244808, 200, 11, 0.05, 0.85, 1
openmp, 4, 0.00221515, 200, 12, 0.05, 0.85, 1
openmp, 4, 0.00325298, 200, 12, 0.05, 0.85, 1
openmp, 4, 0.00201797, 200, 11, 0.05, 0.85, 1
openmp, 5, 0.00266719, 200, 11, 0.05, 0.85, 1
openmp, 5, 0.00208902, 200, 12, 0.05, 0.85, 1
openmp, 5, 0.00409818, 200, 12, 0.05, 0.85, 1
openmp, 5, 0.0024159, 200, 12, 0.05, 0.85, 1
openmp, 5, 0.00291109, 200, 12, 0.05, 0.85, 1
openmp, 6, 0.00260687, 200, 12, 0.05, 0.85, 1
openmp, 6, 0.022521, 200, 12, 0.05, 0.85, 1
openmp, 6, 0.00240779, 200, 12, 0.05, 0.85, 1
openmp, 6, 0.00237298, 200, 12, 0.05, 0.85, 1
openmp, 6, 0.00242209, 200, 12, 0.05, 0.85, 1
openmp, 7, 0.00233102, 200, 11, 0.05, 0.85, 1
openmp, 7, 0.00215006, 200, 12, 0.05, 0.85, 1
openmp, 7, 0.0127649, 200, 12, 0.05, 0.85, 1
openmp, 7, 0.00574899, 200, 12, 0.05, 0.85, 1
openmp, 7, 0.00213504, 200, 11, 0.05, 0.85, 1
openmp, 8, 0.00731301, 200, 12, 0.05, 0.85, 1
openmp, 8, 0.0123999, 200, 11, 0.05, 0.85, 1
openmp, 8, 0.0124989, 200, 11, 0.05, 0.85, 1
openmp, 8, 0.00213194, 200, 12, 0.05, 0.85, 1
openmp, 8, 0.00220394, 200, 11, 0.05, 0.85, 1
openmp, 9, 0.17343, 200, 11, 0.05, 0.85, 1
openmp, 9, 0.01828, 200, 12, 0.05, 0.85, 1
openmp, 9, 0.00328302, 200, 12, 0.05, 0.85, 1
openmp, 9, 0.00245118, 200, 12, 0.05, 0.85, 1
openmp, 9, 0.191029, 200, 12, 0.05, 0.85, 1
openmp, 10, 0.0111048, 200, 12, 0.05, 0.85, 1
openmp, 10, 0.00970197, 200, 12, 0.05, 0.85, 1
openmp, 10, 0.187098, 200, 12, 0.05, 0.85, 1
openmp, 10, 0.201205, 200, 12, 0.05, 0.85, 1
openmp, 10, 0.012701, 200, 12, 0.05, 0.85, 1
openmp, 11, 0.180854, 200, 11, 0.05, 0.85, 1
