openmp, cores, time, n, iterations, p, d, checksum
openmp, 1, 0.00414801, 200, 9, 0.05, 0.85, 1
openmp, 1, 0.00507689, 200, 11, 0.05, 0.85, 1
openmp, 1, 0.00475502, 200, 11, 0.05, 0.85, 1
openmp, 1, 0.00418115, 200, 10, 0.05, 0.85, 1
openmp, 1, 0.00434184, 200, 10, 0.05, 0.85, 1
openmp, 2, 0.0027678, 200, 11, 0.05, 0.85, 1
openmp, 2, 0.002877, 200, 11, 0.05, 0.85, 1
openmp, 2, 0.0030632, 200, 12, 0.05, 0.85, 1
openmp, 2, 0.00299811, 200, 11, 0.05, 0.85, 1
openmp, 2, 0.00307488, 200, 11, 0.05, 0.85, 1
openmp, 3, 0.00245786, 200, 11, 0.05, 0.85, 1
openmp, 3, 0.00211906, 200, 10, 0.05, 0.85, 1
openmp, 3, 0.00251007, 200, 11, 0.05, 0.85, 1
openmp, 3, 0.00228906, 200, 11, 0.05, 0.85, 1
openmp, 3, 0.00352502, 200, 12, 0.05, 0.85, 1
openmp, 4, 0.00214005, 200, 11, 0.05, 0.85, 1
openmp, 4, 0.00233293, 200, 11, 0.05, 0.85, 1
openmp, 4, 0.00346804, 200, 12, 0.05, 0.85, 1
openmp, 4, 0.00322604, 200, 11, 0.05, 0.85, 1
openmp, 4, 0.00275803, 200, 11, 0.05, 0.85, 1
openmp, 5, 0.00202894, 200, 12, 0.05, 0.85, 1
openmp, 5, 0.0032289, 200, 12, 0.05, 0.85, 1
openmp, 5, 0.00243902, 200, 11, 0.05, 0.85, 1
openmp, 5, 0.00256181, 200, 12, 0.05, 0.85, 1
openmp, 5, 0.00257683, 200, 12, 0.05, 0.85, 1
openmp, 6, 0.00237918, 200, 12, 0.05, 0.85, 1
openmp, 6, 0.00226712, 200, 11, 0.05, 0.85, 1
openmp, 6, 0.00211191, 200, 11, 0.05, 0.85, 1
openmp, 6, 0.00238299, 200, 12, 0.05, 0.85, 1
openmp, 6, 0.00220609, 200, 12, 0.05, 0.85, 1
openmp, 7, 0.00290203, 200, 11, 0.05, 0.85, 1
openmp, 7, 0.0028019, 200, 12, 0.05, 0.85, 1
openmp, 7, 0.00209999, 200, 11, 0.05, 0.85, 1
openmp, 7, 0.00258994, 200, 12, 0.05, 0.85, 1
openmp, 7, 0.0022049, 200, 12, 0.05, 0.85, 1
openmp, 8, 0.00215316, 200, 12, 0.05, 0.85, 1
