openmp, cores, time, n, iterations, p, d, checksum
openmp, 1, 0.009094, 200, 29, 0.05, 0.85, 1
openmp, 1, 0.008497, 200, 29, 0.05, 0.85, 1
openmp, 1, 0.00851393, 200, 29, 0.05, 0.85, 1
openmp, 1, 0.00866199, 200, 29, 0.05, 0.85, 1
openmp, 1, 0.00951385, 200, 29, 0.05, 0.85, 1
openmp, 2, 0.00572705, 200, 33, 0.05, 0.85, 1
openmp, 2, 0.00535893, 200, 33, 0.05, 0.85, 1
openmp, 2, 0.00535822, 200, 33, 0.05, 0.85, 1
openmp, 2, 0.00546503, 200, 33, 0.05, 0.85, 1
openmp, 2, 0.00555515, 200, 33, 0.05, 0.85, 1
openmp, 3, 0.00416994, 200, 33, 0.05, 0.85, 1
openmp, 3, 0.00427103, 200, 33, 0.05, 0.85, 1
openmp, 3, 0.00418115, 200, 33, 0.05, 0.85, 1
openmp, 3, 0.00408506, 200, 33, 0.05, 0.85, 1
openmp, 3, 0.00455904, 200, 33, 0.05, 0.85, 1
openmp, 4, 0.00344706, 200, 33, 0.05, 0.85, 1
openmp, 4, 0.00514388, 200, 33, 0.05, 0.85, 1
openmp, 4, 0.00345707, 200, 33, 0.05, 0.85, 1
openmp, 4, 0.00384307, 200, 33, 0.05, 0.85, 1
openmp, 4, 0.00334001, 200, 33, 0.05, 0.85, 1
openmp, 5, 0.00422502, 200, 33, 0.05, 0.85, 1
openmp, 5, 0.00438905, 200, 33, 0.05, 0.85, 1
openmp, 5, 0.00358891, 200, 33, 0.05, 0.85, 1
openmp, 5, 0.00447607, 200, 33, 0.05, 0.85, 1
openmp, 5, 0.00320196, 200, 33, 0.05, 0.85, 1
openmp, 6, 0.00493908, 200, 35, 0.05, 0.85, 1
openmp, 6, 0.00438094, 200, 35, 0.05, 0.85, 1
openmp, 6, 0.0048089, 200, 35, 0.05, 0.85, 1
openmp, 6, 0.00465608, 200, 35, 0.05, 0.85, 1
openmp, 6, 0.00422621, 200, 35, 0.05, 0.85, 1
openmp, 7, 0.00514317, 200, 36, 0.05, 0.85, 1
openmp, 7, 0.00416183, 200, 36, 0.05, 0.85, 1
openmp, 7, 0.00400305, 200, 36, 0.05, 0.85, 1
openmp, 7, 0.00388789, 200, 36, 0.05, 0.85, 1
openmp, 7, 0.00402403, 200, 36, 0.05, 0.85, 1
openmp, 8, 0.00448394, 200, 38, 0.05, 0.85, 1
openmp, 8, 0.0085988, 200, 38, 0.05, 0.85, 1
openmp, 8, 0.00573397, 200, 38, 0.05, 0.85, 1
openmp, 8, 0.00416207, 200, 38, 0.05, 0.85, 1
openmp, 8, 0.00384593, 200, 38, 0.05, 0.85, 1
openmp, 9, 0.00390291, 200, 34, 0.05, 0.85, 1
openmp, 9, 0.00355506, 200, 34, 0.05, 0.85, 1
openmp, 9, 0.00397801, 200, 34, 0.05, 0.85, 1
openmp, 9, 0.011163, 200, 34, 0.05, 0.85, 1
