openmp, cores, time, n, iterations, p, d, checksum
openmp, 1, 0.00837493, 200, 29, 0.05, 0.85, 1
openmp, 1, 0.00873995, 200, 29, 0.05, 0.85, 1
openmp, 1, 0.00895596, 200, 29, 0.05, 0.85, 1
openmp, 1, 0.00854802, 200, 29, 0.05, 0.85, 1
openmp, 1, 0.00933599, 200, 29, 0.05, 0.85, 1
openmp, 2, 0.00595403, 200, 33, 0.05, 0.85, 1
openmp, 2, 0.00551987, 200, 33, 0.05, 0.85, 1
openmp, 2, 0.00623798, 200, 33, 0.05, 0.85, 1
openmp, 2, 0.00552106, 200, 33, 0.05, 0.85, 1
openmp, 2, 0.005373, 200, 33, 0.05, 0.85, 1
openmp, 3, 0.00476098, 200, 33, 0.05, 0.85, 1
openmp, 3, 0.00447512, 200, 33, 0.05, 0.85, 1
openmp, 3, 0.00434613, 200, 33, 0.05, 0.85, 1
openmp, 3, 0.00415111, 200, 33, 0.05, 0.85, 1
openmp, 3, 0.00415397, 200, 33, 0.05, 0.85, 1
openmp, 4, 0.00398517, 200, 33, 0.05, 0.85, 1
openmp, 4, 0.00396609, 200, 33, 0.05, 0.85, 1
openmp, 4, 0.00506783, 200, 33, 0.05, 0.85, 1
openmp, 4, 0.00336313, 200, 33, 0.05, 0.85, 1
openmp, 4, 0.00347996, 200, 33, 0.05, 0.85, 1
openmp, 5, 0.00344992, 200, 33, 0.05, 0.85, 1
openmp, 5, 0.00352407, 200, 33, 0.05, 0.85, 1
openmp, 5, 0.00460386, 200, 33, 0.05, 0.85, 1
openmp, 5, 0.00435805, 200, 33, 0.05, 0.85, 1
openmp, 5, 0.00473309, 200, 33, 0.05, 0.85, 1
openmp, 6, 0.00453711, 200, 35, 0.05, 0.85, 1
openmp, 6, 0.00481486, 200, 35, 0.05, 0.85, 1
openmp, 6, 0.00417113, 200, 35, 0.05, 0.85, 1
openmp, 6, 0.00448608, 200, 35, 0.05, 0.85, 1
openmp, 6, 0.0104539, 200, 35, 0.05, 0.85, 1
openmp, 7, 0.209586, 200, 36, 0.05, 0.85, 1
openmp, 7, 0.00378895, 200, 36, 0.05, 0.85, 1
openmp, 7, 0.0116141, 200, 36, 0.05, 0.85, 1
openmp, 7, 0.204028, 200, 36, 0.05, 0.85, 1
openmp, 7, 0.00878119, 200, 36, 0.05, 0.85, 1
openmp, 8, 0.128848, 200, 38, 0.05, 0.85, 1
openmp, 8, 0.0478978, 200, 38, 0.05, 0.85, 1
openmp, 8, 0.209019, 200, 38, 0.05, 0.85, 1
openmp, 8, 0.00406694, 200, 38, 0.05, 0.85, 1
openmp, 8, 0.00699806, 200, 38, 0.05, 0.85, 1
openmp, 9, 0.0394089, 200, 34, 0.05, 0.85, 1
openmp, 9, 0.00406194, 200, 34, 0.05, 0.85, 1
openmp, 9, 0.00949883, 200, 34, 0.05, 0.85, 1
openmp, 9, 0.20664, 200, 34, 0.05, 0.85, 1
openmp, 9, 0.00396895, 200, 34, 0.05, 0.85, 1
openmp, 10, 0.00552607, 200, 33, 0.05, 0.85, 1
openmp, 10, 0.00362492, 200, 33, 0.05, 0.85, 1
openmp, 10, 0.183088, 200, 33, 0.05, 0.85, 1
openmp, 10, 0.18504, 200, 33, 0.05, 0.85, 1
openmp, 10, 0.00782108, 200, 33, 0.05, 0.85, 1
openmp, 11, 0.00843, 200, 34, 0.05, 0.85, 1
openmp, 11, 0.00583696, 200, 34, 0.05, 0.85, 1
openmp, 11, 0.00501108, 200, 34, 0.05, 0.85, 1
openmp, 11, 0.00654101, 200, 34, 0.05, 0.85, 1
openmp, 11, 0.00486088, 200, 34, 0.05, 0.85, 1
openmp, 12, 0.00922894, 200, 33, 0.05, 0.85, 1
openmp, 12, 0.00760603, 200, 33, 0.05, 0.85, 1
openmp, 12, 0.00378013, 200, 33, 0.05, 0.85, 1
openmp, 12, 0.00542712, 200, 33, 0.05, 0.85, 1
openmp, 12, 0.00454712, 200, 33, 0.05, 0.85, 1
openmp, 13, 0.00680709, 200, 38, 0.05, 0.85, 1
openmp, 13, 0.012588, 200, 38, 0.05, 0.85, 1
openmp, 13, 0.00571418, 200, 38, 0.05, 0.85, 1
openmp, 13, 0.00606298, 200, 38, 0.05, 0.85, 1
openmp, 13, 0.00586009, 200, 38, 0.05, 0.85, 1
openmp, 14, 0.209495, 200, 36, 0.05, 0.85, 1
openmp, 14, 0.0205338, 200, 36, 0.05, 0.85, 1
openmp, 14, 0.00682187, 200, 36, 0.05, 0.85, 1
openmp, 14, 0.0399258, 200, 36, 0.05, 0.85, 1
openmp, 14, 0.00410485, 200, 36, 0.05, 0.85, 1
openmp, 15, 0.203542, 200, 37, 0.05, 0.85, 1
openmp, 15, 0.217996, 200, 37, 0.05, 0.85, 1
openmp, 15, 0.203697, 200, 37, 0.05, 0.85, 1
openmp, 15, 0.128886, 200, 37, 0.05, 0.85, 1
openmp, 15, 0.203704, 200, 37, 0.05, 0.85, 1
openmp, 16, 0.202812, 200, 33, 0.05, 0.85, 1
openmp, 16, 0.206407, 200, 33, 0.05, 0.85, 1
openmp, 16, 0.00379705, 200, 33, 0.05, 0.85, 1
openmp, 16, 0.0473909, 200, 33, 0.05, 0.85, 1
openmp, 16, 0.00645089, 200, 33, 0.05, 0.85, 1
openmp, 17, 0.104424, 200, 37, 0.05, 0.85, 1
openmp, 17, 0.00889206, 200, 37, 0.05, 0.85, 1
openmp, 17, 0.00907993, 200, 37, 0.05, 0.85, 1
openmp, 17, 0.015527, 200, 37, 0.05, 0.85, 1
openmp, 17, 0.00444698, 200, 37, 0.05, 0.85, 1
openmp, 18, 0.013289, 200, 35, 0.05, 0.85, 1
openmp, 18, 0.0113358, 200, 35, 0.05, 0.85, 1
openmp, 18, 0.00530291, 200, 35, 0.05, 0.85, 1
openmp, 18, 0.0103672, 200, 35, 0.05, 0.85, 1
openmp, 18, 0.014533, 200, 35, 0.05, 0.85, 1
openmp, 19, 0.207701, 200, 36, 0.05, 0.85, 1
openmp, 19, 0.205475, 200, 36, 0.05, 0.85, 1
openmp, 19, 0.208474, 200, 36, 0.05, 0.85, 1
openmp, 19, 0.206942, 200, 36, 0.05, 0.85, 1
openmp, 19, 0.215154, 200, 36, 0.05, 0.85, 1
openmp, 20, 0.208304, 200, 33, 0.05, 0.85, 1
openmp, 20, 0.216679, 200, 33, 0.05, 0.85, 1
openmp, 20, 0.206372, 200, 33, 0.05, 0.85, 1
openmp, 20, 0.175673, 200, 33, 0.05, 0.85, 1
openmp, 20, 0.0100439, 200, 33, 0.05, 0.85, 1
openmp, 21, 0.00750399, 200, 38, 0.05, 0.85, 1
openmp, 21, 0.208195, 200, 38, 0.05, 0.85, 1
openmp, 21, 0.210338, 200, 38, 0.05, 0.85, 1
openmp, 21, 0.2035, 200, 38, 0.05, 0.85, 1
openmp, 21, 0.203649, 200, 38, 0.05, 0.85, 1
openmp, 22, 0.202934, 200, 35, 0.05, 0.85, 1
openmp, 22, 0.203942, 200, 35, 0.05, 0.85, 1
openmp, 22, 0.0147231, 200, 35, 0.05, 0.85, 1
openmp, 22, 0.203803, 200, 35, 0.05, 0.85, 1
openmp, 22, 0.203663, 200, 35, 0.05, 0.85, 1
openmp, 23, 0.207653, 200, 36, 0.05, 0.85, 1
openmp, 23, 0.203262, 200, 36, 0.05, 0.85, 1
openmp, 23, 0.119091, 200, 36, 0.05, 0.85, 1
openmp, 23, 0.207161, 200, 36, 0.05, 0.85, 1
openmp, 23, 0.203438, 200, 36, 0.05, 0.85, 1
openmp, 24, 0.204721, 200, 37, 0.05, 0.85, 1
openmp, 24, 0.204348, 200, 37, 0.05, 0.85, 1
openmp, 24, 0.203588, 200, 37, 0.05, 0.85, 1
openmp, 24, 0.203417, 200, 37, 0.05, 0.85, 1
openmp, 24, 0.203581, 200, 37, 0.05, 0.85, 1
