openmp, cores, time, n, iterations, p, d, checksum
openmp, 1, 0.00419593, 200, 10, 0.05, 0.85, 1
openmp, 1, 0.00448489, 200, 10, 0.05, 0.85, 1
openmp, 1, 0.00426102, 200, 10, 0.05, 0.85, 1
openmp, 1, 0.00464892, 200, 11, 0.05, 0.85, 1
openmp, 1, 0.00476599, 200, 12, 0.05, 0.85, 1
openmp, 2, 0.00717402, 282, 10, 0.05, 0.85, 1
openmp, 2, 0.00716281, 282, 10, 0.05, 0.85, 1
openmp, 2, 0.00579906, 282, 8, 0.05, 0.85, 1
openmp, 2, 0.00731516, 282, 10, 0.05, 0.85, 1
openmp, 2, 0.00760102, 282, 10, 0.05, 0.85, 1
openmp, 3, 0.00995493, 346, 9, 0.05, 0.85, 1
openmp, 3, 0.00971603, 346, 9, 0.05, 0.85, 1
openmp, 3, 0.00975108, 346, 9, 0.05, 0.85, 1
openmp, 3, 0.00966597, 346, 9, 0.05, 0.85, 1
openmp, 3, 0.00991797, 346, 9, 0.05, 0.85, 1
openmp, 4, 0.013505, 400, 9, 0.05, 0.85, 1
openmp, 4, 0.012706, 400, 9, 0.05, 0.85, 1
openmp, 4, 0.01249, 400, 9, 0.05, 0.85, 1
openmp, 4, 0.0150211, 400, 9, 0.05, 0.85, 1
openmp, 4, 0.0152328, 400, 9, 0.05, 0.85, 1
openmp, 5, 0.0139689, 447, 9, 0.05, 0.85, 1
openmp, 5, 0.0171049, 447, 9, 0.05, 0.85, 1
openmp, 5, 0.0139289, 447, 9, 0.05, 0.85, 1
openmp, 5, 0.019119, 447, 9, 0.05, 0.85, 1
openmp, 5, 0.0150049, 447, 8, 0.05, 0.85, 1
openmp, 6, 0.017226, 489, 9, 0.05, 0.85, 1
openmp, 6, 0.0177391, 489, 9, 0.05, 0.85, 1
openmp, 6, 0.0250299, 489, 8, 0.05, 0.85, 1
openmp, 6, 0.0291982, 489, 9, 0.05, 0.85, 1
openmp, 6, 0.0259631, 489, 8, 0.05, 0.85, 1
openmp, 7, 0.0288169, 529, 8, 0.05, 0.85, 1
openmp, 7, 0.0374439, 529, 8, 0.05, 0.85, 1
openmp, 7, 0.0175328, 529, 8, 0.05, 0.85, 1
openmp, 7, 0.0175509, 529, 8, 0.05, 0.85, 1
openmp, 7, 0.0176308, 529, 8, 0.05, 0.85, 1
openmp, 8, 0.019937, 565, 8, 0.05, 0.85, 1
openmp, 8, 0.019222, 565, 8, 0.05, 0.85, 1
openmp, 8, 0.020973, 565, 8, 0.05, 0.85, 1
openmp, 8, 0.021508, 565, 8, 0.05, 0.85, 1
openmp, 8, 0.0190611, 565, 8, 0.05, 0.85, 1
openmp, 9, 0.0256329, 600, 8, 0.05, 0.85, 1
openmp, 9, 0.0247471, 600, 8, 0.05, 0.85, 1
openmp, 9, 0.023643, 600, 8, 0.05, 0.85, 1
openmp, 9, 0.0227921, 600, 8, 0.05, 0.85, 1
openmp, 9, 0.02106, 600, 8, 0.05, 0.85, 1
openmp, 10, 0.0222499, 632, 8, 0.05, 0.85, 1
openmp, 10, 0.0234931, 632, 8, 0.05, 0.85, 1
openmp, 10, 0.0239029, 632, 8, 0.05, 0.85, 1
openmp, 10, 0.0210359, 632, 8, 0.05, 0.85, 1
openmp, 10, 0.0235858, 632, 8, 0.05, 0.85, 1
openmp, 11, 0.0260561, 663, 8, 0.05, 0.85, 1
openmp, 11, 0.0291669, 663, 8, 0.05, 0.85, 1
openmp, 11, 0.024019, 663, 8, 0.05, 0.85, 1
openmp, 11, 0.0249958, 663, 8, 0.05, 0.85, 1
openmp, 11, 0.0244591, 663, 8, 0.05, 0.85, 1
openmp, 12, 0.0281541, 692, 8, 0.05, 0.85, 1
openmp, 12, 0.0292242, 692, 8, 0.05, 0.85, 1
openmp, 12, 0.0262971, 692, 8, 0.05, 0.85, 1
openmp, 12, 0.02527, 692, 8, 0.05, 0.85, 1
openmp, 12, 0.0350418, 692, 8, 0.05, 0.85, 1
openmp, 13, 0.0354021, 721, 8, 0.05, 0.85, 1
openmp, 13, 0.0355501, 721, 8, 0.05, 0.85, 1
openmp, 13, 0.0381351, 721, 8, 0.05, 0.85, 1
openmp, 13, 0.0359671, 721, 8, 0.05, 0.85, 1
openmp, 13, 0.042135, 721, 8, 0.05, 0.85, 1
openmp, 14, 0.0467761, 748, 8, 0.05, 0.85, 1
openmp, 14, 0.0460989, 748, 8, 0.05, 0.85, 1
openmp, 14, 0.047328, 748, 8, 0.05, 0.85, 1
openmp, 14, 0.047708, 748, 8, 0.05, 0.85, 1
openmp, 14, 0.20094, 748, 8, 0.05, 0.85, 1
openmp, 15, 0.24354, 774, 8, 0.05, 0.85, 1
openmp, 15, 0.0520091, 774, 8, 0.05, 0.85, 1
openmp, 15, 0.0463841, 774, 8, 0.05, 0.85, 1
openmp, 15, 0.043716, 774, 8, 0.05, 0.85, 1
openmp, 15, 0.045506, 774, 8, 0.05, 0.85, 1
openmp, 16, 0.0627079, 800, 8, 0.05, 0.85, 1
openmp, 16, 0.196361, 800, 8, 0.05, 0.85, 1
openmp, 16, 0.233583, 800, 8, 0.05, 0.85, 1
openmp, 16, 0.287713, 800, 8, 0.05, 0.85, 1
openmp, 16, 0.183435, 800, 8, 0.05, 0.85, 1
openmp, 17, 0.125918, 824, 8, 0.05, 0.85, 1
openmp, 17, 0.320881, 824, 8, 0.05, 0.85, 1
openmp, 17, 0.117095, 824, 7, 0.05, 0.85, 1
openmp, 17, 0.152223, 824, 8, 0.05, 0.85, 1
openmp, 17, 0.048346, 824, 8, 0.05, 0.85, 1
openmp, 18, 0.264122, 848, 8, 0.05, 0.85, 1
openmp, 18, 0.169128, 848, 8, 0.05, 0.85, 1
openmp, 18, 0.216999, 848, 8, 0.05, 0.85, 1
openmp, 18, 0.168157, 848, 8, 0.05, 0.85, 1
openmp, 18, 0.0500021, 848, 8, 0.05, 0.85, 1
openmp, 19, 0.305123, 871, 8, 0.05, 0.85, 1
openmp, 19, 0.253776, 871, 7, 0.05, 0.85, 1
openmp, 19, 0.326811, 871, 8, 0.05, 0.85, 1
openmp, 19, 0.058665, 871, 8, 0.05, 0.85, 1
openmp, 19, 0.248235, 871, 8, 0.05, 0.85, 1
openmp, 20, 0.194213, 894, 8, 0.05, 0.85, 1
openmp, 20, 0.255883, 894, 7, 0.05, 0.85, 1
openmp, 20, 0.610483, 894, 8, 0.05, 0.85, 1
openmp, 20, 0.053612, 894, 8, 0.05, 0.85, 1
openmp, 20, 0.16319, 894, 8, 0.05, 0.85, 1
openmp, 21, 0.096606, 916, 7, 0.05, 0.85, 1
openmp, 21, 0.161874, 916, 7, 0.05, 0.85, 1
openmp, 21, 0.174657, 916, 7, 0.05, 0.85, 1
openmp, 21, 0.150488, 916, 7, 0.05, 0.85, 1
openmp, 21, 0.25693, 916, 7, 0.05, 0.85, 1
openmp, 22, 0.240512, 938, 8, 0.05, 0.85, 1
openmp, 22, 0.33812, 938, 7, 0.05, 0.85, 1
openmp, 22, 0.158458, 938, 7, 0.05, 0.85, 1
openmp, 22, 0.163363, 938, 7, 0.05, 0.85, 1
openmp, 22, 0.239367, 938, 7, 0.05, 0.85, 1
openmp, 23, 0.326577, 959, 7, 0.05, 0.85, 1
openmp, 23, 0.15147, 959, 7, 0.05, 0.85, 1
openmp, 23, 0.336503, 959, 7, 0.05, 0.85, 1
openmp, 23, 0.307306, 959, 7, 0.05, 0.85, 1
openmp, 23, 0.168221, 959, 7, 0.05, 0.85, 1
openmp, 24, 0.27457, 979, 7, 0.05, 0.85, 1
openmp, 24, 0.230972, 979, 7, 0.05, 0.85, 1
openmp, 24, 0.223001, 979, 7, 0.05, 0.85, 1
openmp, 24, 0.17784, 979, 7, 0.05, 0.85, 1
openmp, 24, 0.192634, 979, 7, 0.05, 0.85, 1
