openmp, cores, time, n, iterations, p, d, checksum
openmp, 1, 0.00432706, 200, 10, 0.05, 0.85, 1
openmp, 1, 0.00443292, 200, 10, 0.05, 0.85, 1
openmp, 1, 0.00396085, 200, 9, 0.05, 0.85, 1
openmp, 1, 0.00485611, 200, 12, 0.05, 0.85, 1
openmp, 1, 0.00426197, 200, 10, 0.05, 0.85, 1
openmp, 2, 0.00719786, 282, 11, 0.05, 0.85, 1
openmp, 2, 0.00756192, 282, 11, 0.05, 0.85, 1
openmp, 2, 0.00733209, 282, 10, 0.05, 0.85, 1
openmp, 2, 0.00623798, 282, 9, 0.05, 0.85, 1
openmp, 2, 0.00694895, 282, 10, 0.05, 0.85, 1
openmp, 3, 0.0194051, 346, 10, 0.05, 0.85, 1
openmp, 3, 0.00961208, 346, 9, 0.05, 0.85, 1
openmp, 3, 0.0187809, 346, 9, 0.05, 0.85, 1
openmp, 3, 0.0106401, 346, 10, 0.05, 0.85, 1
openmp, 3, 0.009691, 346, 9, 0.05, 0.85, 1
openmp, 4, 0.0128479, 400, 9, 0.05, 0.85, 1
openmp, 4, 0.01735, 400, 10, 0.05, 0.85, 1
openmp, 4, 0.0127568, 400, 9, 0.05, 0.85, 1
openmp, 4, 0.012434, 400, 9, 0.05, 0.85, 1
openmp, 4, 0.02231, 400, 9, 0.05, 0.85, 1
openmp, 5, 0.015923, 447, 9, 0.05, 0.85, 1
openmp, 5, 0.0163841, 447, 9, 0.05, 0.85, 1
openmp, 5, 0.0140271, 447, 9, 0.05, 0.85, 1
openmp, 5, 0.0139031, 447, 9, 0.05, 0.85, 1
openmp, 5, 0.0174429, 447, 9, 0.05, 0.85, 1
openmp, 6, 0.0179558, 489, 9, 0.05, 0.85, 1
openmp, 6, 0.018141, 489, 9, 0.05, 0.85, 1
openmp, 6, 0.018126, 489, 9, 0.05, 0.85, 1
openmp, 6, 0.0158839, 489, 8, 0.05, 0.85, 1
openmp, 6, 0.018286, 489, 9, 0.05, 0.85, 1
openmp, 7, 0.0269151, 529, 8, 0.05, 0.85, 1
openmp, 7, 0.0192659, 529, 9, 0.05, 0.85, 1
openmp, 7, 0.0198169, 529, 9, 0.05, 0.85, 1
openmp, 7, 0.01929, 529, 9, 0.05, 0.85, 1
openmp, 7, 0.020211, 529, 9, 0.05, 0.85, 1
openmp, 8, 0.0212152, 565, 9, 0.05, 0.85, 1
openmp, 8, 0.0202019, 565, 8, 0.05, 0.85, 1
openmp, 8, 0.019825, 565, 8, 0.05, 0.85, 1
openmp, 8, 0.022649, 565, 8, 0.05, 0.85, 1
openmp, 8, 0.0208471, 565, 8, 0.05, 0.85, 1
openmp, 9, 0.0214779, 600, 8, 0.05, 0.85, 1
openmp, 9, 0.025851, 600, 8, 0.05, 0.85, 1
openmp, 9, 0.020963, 600, 8, 0.05, 0.85, 1
openmp, 9, 0.0206819, 600, 8, 0.05, 0.85, 1
openmp, 9, 0.022651, 600, 8, 0.05, 0.85, 1
openmp, 10, 0.0258431, 632, 8, 0.05, 0.85, 1
openmp, 10, 0.024092, 632, 8, 0.05, 0.85, 1
openmp, 10, 0.022774, 632, 8, 0.05, 0.85, 1
openmp, 10, 0.024579, 632, 8, 0.05, 0.85, 1
openmp, 10, 0.026752, 632, 8, 0.05, 0.85, 1
openmp, 11, 0.0290098, 663, 8, 0.05, 0.85, 1
openmp, 11, 0.175292, 663, 8, 0.05, 0.85, 1
openmp, 11, 0.178948, 663, 8, 0.05, 0.85, 1
openmp, 11, 0.0445299, 663, 8, 0.05, 0.85, 1
openmp, 11, 0.224497, 663, 8, 0.05, 0.85, 1
openmp, 12, 0.182742, 692, 8, 0.05, 0.85, 1
openmp, 12, 0.0392399, 692, 8, 0.05, 0.85, 1
openmp, 12, 0.194128, 692, 8, 0.05, 0.85, 1
openmp, 12, 0.173341, 692, 8, 0.05, 0.85, 1
openmp, 12, 0.0254631, 692, 8, 0.05, 0.85, 1
openmp, 13, 0.0390172, 721, 8, 0.05, 0.85, 1
openmp, 13, 0.034838, 721, 8, 0.05, 0.85, 1
openmp, 13, 0.0413022, 721, 8, 0.05, 0.85, 1
openmp, 13, 0.033493, 721, 8, 0.05, 0.85, 1
openmp, 13, 0.0351059, 721, 7, 0.05, 0.85, 1
openmp, 14, 0.0413289, 748, 8, 0.05, 0.85, 1
openmp, 14, 0.046211, 748, 8, 0.05, 0.85, 1
openmp, 14, 0.0457342, 748, 8, 0.05, 0.85, 1
openmp, 14, 0.0454149, 748, 8, 0.05, 0.85, 1
openmp, 14, 0.183423, 748, 8, 0.05, 0.85, 1
openmp, 15, 0.217291, 774, 8, 0.05, 0.85, 1
openmp, 15, 0.0434411, 774, 7, 0.05, 0.85, 1
openmp, 15, 0.0499351, 774, 8, 0.05, 0.85, 1
openmp, 15, 0.050391, 774, 8, 0.05, 0.85, 1
