openmp, cores, time, n, iterations, p, d, checksum
openmp, 1, 3.74987, 20000, 4, 0.05, 0.85, 1
openmp, 1, 3.72991, 20000, 4, 0.05, 0.85, 1
openmp, 1, 3.72776, 20000, 4, 0.05, 0.85, 1
openmp, 1, 3.72718, 20000, 4, 0.05, 0.85, 1
openmp, 1, 3.05398, 20000, 3, 0.05, 0.85, 1
openmp, 2, 2.40948, 20000, 4, 0.05, 0.85, 1
openmp, 2, 2.38147, 20000, 4, 0.05, 0.85, 1
openmp, 2, 2.42695, 20000, 4, 0.05, 0.85, 1
openmp, 2, 2.38455, 20000, 4, 0.05, 0.85, 1
openmp, 2, 2.75603, 20000, 5, 0.05, 0.85, 1
openmp, 3, 1.9569, 20000, 4, 0.05, 0.85, 1
openmp, 3, 1.95732, 20000, 4, 0.05, 0.85, 1
openmp, 3, 1.9859, 20000, 4, 0.05, 0.85, 1
openmp, 3, 1.98546, 20000, 4, 0.05, 0.85, 1
openmp, 3, 1.95919, 20000, 4, 0.05, 0.85, 1
openmp, 4, 1.71632, 20000, 4, 0.05, 0.85, 1
openmp, 4, 1.73331, 20000, 4, 0.05, 0.85, 1
openmp, 4, 1.92022, 20000, 5, 0.05, 0.85, 1
openmp, 4, 1.72187, 20000, 4, 0.05, 0.85, 1
openmp, 4, 1.73976, 20000, 4, 0.05, 0.85, 1
openmp, 5, 1.61112, 20000, 4, 0.05, 0.85, 1
openmp, 5, 1.7295, 20000, 4, 0.05, 0.85, 1
openmp, 5, 1.60072, 20000, 4, 0.05, 0.85, 1
openmp, 5, 1.62383, 20000, 4, 0.05, 0.85, 1
openmp, 5, 1.66163, 20000, 4, 0.05, 0.85, 1
openmp, 6, 1.82492, 20000, 5, 0.05, 0.85, 1
openmp, 6, 1.64539, 20000, 4, 0.05, 0.85, 1
openmp, 6, 1.78491, 20000, 4, 0.05, 0.85, 1
openmp, 6, 1.6548, 20000, 4, 0.05, 0.85, 1
openmp, 6, 1.64401, 20000, 4, 0.05, 0.85, 1
openmp, 7, 1.69502, 20000, 4, 0.05, 0.85, 1
openmp, 7, 1.85735, 20000, 5, 0.05, 0.85, 1
openmp, 7, 1.60496, 20000, 4, 0.05, 0.85, 1
openmp, 7, 1.70364, 20000, 4, 0.05, 0.85, 1
openmp, 7, 1.6153, 20000, 4, 0.05, 0.85, 1
openmp, 8, 1.67028, 20000, 4, 0.05, 0.85, 1
openmp, 8, 1.61714, 20000, 4, 0.05, 0.85, 1
openmp, 8, 1.83348, 20000, 5, 0.05, 0.85, 1
openmp, 8, 1.71933, 20000, 4, 0.05, 0.85, 1
openmp, 8, 1.66202, 20000, 4, 0.05, 0.85, 1
openmp, 9, 1.61879, 20000, 4, 0.05, 0.85, 1
openmp, 9, 1.65343, 20000, 4, 0.05, 0.85, 1
openmp, 9, 1.68847, 20000, 4, 0.05, 0.85, 1
openmp, 9, 1.82942, 20000, 5, 0.05, 0.85, 1
openmp, 9, 1.8184, 20000, 5, 0.05, 0.85, 1
openmp, 10, 1.8025, 20000, 5, 0.05, 0.85, 1
openmp, 10, 1.86054, 20000, 5, 0.05, 0.85, 1
openmp, 10, 1.85311, 20000, 5, 0.05, 0.85, 1
openmp, 10, 1.6892, 20000, 4, 0.05, 0.85, 1
openmp, 10, 1.69421, 20000, 4, 0.05, 0.85, 1
openmp, 11, 1.66422, 20000, 4, 0.05, 0.85, 1
openmp, 11, 1.74094, 20000, 4, 0.05, 0.85, 1
