openmp, cores, time, n, iterations, p, d, checksum
openmp, 1, 0.221918, 4000, 5, 0.05, 0.85, 1
openmp, 1, 0.201214, 4000, 5, 0.05, 0.85, 1
openmp, 1, 0.202379, 4000, 5, 0.05, 0.85, 1
openmp, 1, 0.194836, 4000, 5, 0.05, 0.85, 1
openmp, 1, 0.202761, 4000, 5, 0.05, 0.85, 1
openmp, 2, 0.246587, 5656, 5, 0.05, 0.85, 1
openmp, 2, 0.248659, 5656, 5, 0.05, 0.85, 1
openmp, 2, 0.249542, 5656, 5, 0.05, 0.85, 1
openmp, 2, 0.261454, 5656, 5, 0.05, 0.85, 1
openmp, 2, 0.240592, 5656, 5, 0.05, 0.85, 1
openmp, 3, 0.297741, 6928, 5, 0.05, 0.85, 1
openmp, 3, 0.2942, 6928, 5, 0.05, 0.85, 1
openmp, 3, 0.329795, 6928, 5, 0.05, 0.85, 1
openmp, 3, 0.329724, 6928, 5, 0.05, 0.85, 1
openmp, 3, 0.289443, 6928, 5, 0.05, 0.85, 1
openmp, 4, 0.463062, 8000, 5, 0.05, 0.85, 1
openmp, 4, 0.347065, 8000, 5, 0.05, 0.85, 1
openmp, 4, 0.45865, 8000, 5, 0.05, 0.85, 1
openmp, 4, 0.353434, 8000, 5, 0.05, 0.85, 1
openmp, 4, 0.335485, 8000, 5, 0.05, 0.85, 1
openmp, 5, 0.517458, 8944, 5, 0.05, 0.85, 1
openmp, 5, 0.524266, 8944, 5, 0.05, 0.85, 1
openmp, 5, 0.506148, 8944, 5, 0.05, 0.85, 1
openmp, 5, 0.494116, 8944, 5, 0.05, 0.85, 1
openmp, 5, 0.557063, 8944, 5, 0.05, 0.85, 1
openmp, 6, 0.555752, 9797, 5, 0.05, 0.85, 1
openmp, 6, 0.558718, 9797, 5, 0.05, 0.85, 1
openmp, 6, 0.555055, 9797, 5, 0.05, 0.85, 1
openmp, 6, 0.57418, 9797, 5, 0.05, 0.85, 1
openmp, 6, 0.576276, 9797, 5, 0.05, 0.85, 1
openmp, 7, 0.592727, 10583, 5, 0.05, 0.85, 1
openmp, 7, 0.588558, 10583, 5, 0.05, 0.85, 1
openmp, 7, 0.570546, 10583, 5, 0.05, 0.85, 1
openmp, 7, 0.596554, 10583, 5, 0.05, 0.85, 1
openmp, 7, 0.573943, 10583, 5, 0.05, 0.85, 1
openmp, 8, 0.685303, 11313, 5, 0.05, 0.85, 1
openmp, 8, 0.939915, 11313, 5, 0.05, 0.85, 1
openmp, 8, 0.804677, 11313, 5, 0.05, 0.85, 1
openmp, 8, 0.963402, 11313, 5, 0.05, 0.85, 1
openmp, 8, 0.924127, 11313, 5, 0.05, 0.85, 1
openmp, 9, 0.829693, 12000, 5, 0.05, 0.85, 1
openmp, 9, 0.86565, 12000, 5, 0.05, 0.85, 1
openmp, 9, 0.721554, 12000, 5, 0.05, 0.85, 1
openmp, 9, 0.920431, 12000, 5, 0.05, 0.85, 1
openmp, 9, 0.878921, 12000, 5, 0.05, 0.85, 1
openmp, 10, 0.817377, 12649, 5, 0.05, 0.85, 1
openmp, 10, 1.0645, 12649, 5, 0.05, 0.85, 1
openmp, 10, 0.831836, 12649, 5, 0.05, 0.85, 1
openmp, 10, 0.861796, 12649, 5, 0.05, 0.85, 1
openmp, 10, 1.21066, 12649, 5, 0.05, 0.85, 1
openmp, 11, 1.3218, 13266, 5, 0.05, 0.85, 1
openmp, 11, 1.0005, 13266, 5, 0.05, 0.85, 1
openmp, 11, 0.910515, 13266, 5, 0.05, 0.85, 1
openmp, 11, 1.00025, 13266, 5, 0.05, 0.85, 1
openmp, 11, 1.04495, 13266, 5, 0.05, 0.85, 1
openmp, 12, 1.39137, 13856, 5, 0.05, 0.85, 1
openmp, 12, 1.15283, 13856, 5, 0.05, 0.85, 1
openmp, 12, 1.22785, 13856, 5, 0.05, 0.85, 1
openmp, 12, 1.03611, 13856, 5, 0.05, 0.85, 1
openmp, 12, 1.00596, 13856, 5, 0.05, 0.85, 1
openmp, 13, 1.10445, 14422, 5, 0.05, 0.85, 1
openmp, 13, 1.11046, 14422, 5, 0.05, 0.85, 1
openmp, 13, 1.039, 14422, 5, 0.05, 0.85, 1
openmp, 13, 1.03735, 14422, 5, 0.05, 0.85, 1
openmp, 13, 1.06418, 14422, 5, 0.05, 0.85, 1
openmp, 14, 1.13128, 14966, 5, 0.05, 0.85, 1
openmp, 14, 1.12519, 14966, 5, 0.05, 0.85, 1
openmp, 14, 1.11065, 14966, 5, 0.05, 0.85, 1
openmp, 14, 1.22086, 14966, 5, 0.05, 0.85, 1
openmp, 14, 1.13952, 14966, 5, 0.05, 0.85, 1
openmp, 15, 1.26582, 15491, 5, 0.05, 0.85, 1
openmp, 15, 1.25547, 15491, 5, 0.05, 0.85, 1
