openmp, cores, time, n, iterations, p, d, checksum
openmp, 1, 0.00273681, 200, 30, 0.05, 0.85, 1
openmp, 1, 0.00255013, 200, 30, 0.05, 0.85, 1
openmp, 1, 0.00254202, 200, 30, 0.05, 0.85, 1
openmp, 1, 0.00250602, 200, 30, 0.05, 0.85, 1
openmp, 1, 0.0024569, 200, 30, 0.05, 0.85, 1
openmp, 2, 0.00242209, 282, 25, 0.05, 0.85, 1
openmp, 2, 0.00235391, 282, 25, 0.05, 0.85, 1
openmp, 2, 0.00252604, 282, 25, 0.05, 0.85, 1
openmp, 2, 0.00261807, 282, 25, 0.05, 0.85, 1
openmp, 2, 0.00231886, 282, 25, 0.05, 0.85, 1
openmp, 3, 0.00322485, 346, 24, 0.05, 0.85, 1
openmp, 3, 0.00274205, 346, 24, 0.05, 0.85, 1
openmp, 3, 0.00343513, 346, 24, 0.05, 0.85, 1
openmp, 3, 0.00272202, 346, 24, 0.05, 0.85, 1
openmp, 3, 0.00310302, 346, 24, 0.05, 0.85, 1
openmp, 4, 0.00271106, 400, 24, 0.05, 0.85, 1
openmp, 4, 0.00261092, 400, 24, 0.05, 0.85, 1
openmp, 4, 0.00258207, 400, 24, 0.05, 0.85, 1
openmp, 4, 0.00261092, 400, 24, 0.05, 0.85, 1
openmp, 4, 0.00264382, 400, 24, 0.05, 0.85, 1
openmp, 5, 0.00763297, 447, 26, 0.05, 0.85, 1
openmp, 5, 0.00477004, 447, 26, 0.05, 0.85, 1
openmp, 5, 0.00315118, 447, 26, 0.05, 0.85, 1
openmp, 5, 0.00299811, 447, 26, 0.05, 0.85, 1
openmp, 5, 0.00421596, 447, 26, 0.05, 0.85, 1
openmp, 6, 0.00892997, 489, 23, 0.05, 0.85, 1
openmp, 6, 0.00483704, 489, 23, 0.05, 0.85, 1
openmp, 6, 0.00431991, 489, 23, 0.05, 0.85, 1
openmp, 6, 0.00406599, 489, 23, 0.05, 0.85, 1
openmp, 6, 0.00419497, 489, 23, 0.05, 0.85, 1
openmp, 7, 0.00447893, 529, 23, 0.05, 0.85, 1
openmp, 7, 0.0119801, 529, 23, 0.05, 0.85, 1
openmp, 7, 0.00715709, 529, 23, 0.05, 0.85, 1
openmp, 7, 0.00476789, 529, 23, 0.05, 0.85, 1
