openmp, cores, time, n, iterations, p, d, checksum
openmp, 1, 0.00297785, 200, 30, 0.05, 0.85, 1
openmp, 1, 0.0029192, 200, 30, 0.05, 0.85, 1
openmp, 1, 0.00317287, 200, 30, 0.05, 0.85, 1
openmp, 1, 0.00293279, 200, 30, 0.05, 0.85, 1
openmp, 1, 0.00312304, 200, 30, 0.05, 0.85, 1
openmp, 2, 0.00261092, 282, 25, 0.05, 0.85, 1
openmp, 2, 0.00266814, 282, 25, 0.05, 0.85, 1
openmp, 2, 0.00272989, 282, 25, 0.05, 0.85, 1
openmp, 2, 0.00268984, 282, 25, 0.05, 0.85, 1
openmp, 2, 0.00270295, 282, 25, 0.05, 0.85, 1
openmp, 3, 0.0036242, 346, 24, 0.05, 0.85, 1
openmp, 3, 0.00320911, 346, 24, 0.05, 0.85, 1
openmp, 3, 0.00311303, 346, 24, 0.05, 0.85, 1
openmp, 3, 0.00348711, 346, 24, 0.05, 0.85, 1
openmp, 3, 0.00338984, 346, 24, 0.05, 0.85, 1
openmp, 4, 0.00457406, 400, 24, 0.05, 0.85, 1
openmp, 4, 0.00437713, 400, 24, 0.05, 0.85, 1
openmp, 4, 0.00297999, 400, 24, 0.05, 0.85, 1
openmp, 4, 0.002949, 400, 24, 0.05, 0.85, 1
openmp, 4, 0.00288606, 400, 24, 0.05, 0.85, 1
openmp, 5, 0.00500894, 447, 26, 0.05, 0.85, 1
openmp, 5, 0.00475216, 447, 26, 0.05, 0.85, 1
openmp, 5, 0.00515008, 447, 26, 0.05, 0.85, 1
openmp, 5, 0.00552201, 447, 26, 0.05, 0.85, 1
openmp, 5, 0.00414205, 447, 26, 0.05, 0.85, 1
openmp, 6, 0.00533795, 489, 23, 0.05, 0.85, 1
openmp, 6, 0.00455713, 489, 23, 0.05, 0.85, 1
openmp, 6, 0.00391603, 489, 23, 0.05, 0.85, 1
openmp, 6, 0.00472903, 489, 23, 0.05, 0.85, 1
openmp, 6, 0.00370288, 489, 23, 0.05, 0.85, 1
openmp, 7, 0.00512099, 529, 23, 0.05, 0.85, 1
openmp, 7, 0.00844288, 529, 23, 0.05, 0.85, 1
openmp, 7, 0.00464487, 529, 23, 0.05, 0.85, 1
openmp, 7, 0.004951, 529, 23, 0.05, 0.85, 1
openmp, 7, 0.00480199, 529, 23, 0.05, 0.85, 1
openmp, 8, 0.00542283, 565, 24, 0.05, 0.85, 1
openmp, 8, 0.160626, 565, 24, 0.05, 0.85, 1
openmp, 8, 0.00544596, 565, 24, 0.05, 0.85, 1
openmp, 8, 0.00577807, 565, 24, 0.05, 0.85, 1
openmp, 8, 0.00546312, 565, 24, 0.05, 0.85, 1
openmp, 9, 0.00896502, 600, 26, 0.05, 0.85, 1
openmp, 9, 0.00623584, 600, 26, 0.05, 0.85, 1
openmp, 9, 0.00679398, 600, 26, 0.05, 0.85, 1
openmp, 9, 0.0125759, 600, 26, 0.05, 0.85, 1
openmp, 9, 0.00735378, 600, 26, 0.05, 0.85, 1
openmp, 10, 0.00920391, 632, 23, 0.05, 0.85, 1
openmp, 10, 0.00947905, 632, 23, 0.05, 0.85, 1
openmp, 10, 0.00987101, 632, 23, 0.05, 0.85, 1
openmp, 10, 0.00580502, 632, 23, 0.05, 0.85, 1
openmp, 10, 0.00971699, 632, 23, 0.05, 0.85, 1
openmp, 11, 0.005301, 663, 22, 0.05, 0.85, 1
openmp, 11, 0.00915694, 663, 22, 0.05, 0.85, 1
openmp, 11, 0.0860782, 663, 22, 0.05, 0.85, 1
openmp, 11, 0.00537014, 663, 22, 0.05, 0.85, 1
openmp, 11, 0.013262, 663, 22, 0.05, 0.85, 1
openmp, 12, 0.00969315, 692, 22, 0.05, 0.85, 1
openmp, 12, 0.011204, 692, 22, 0.05, 0.85, 1
openmp, 12, 0.00987387, 692, 22, 0.05, 0.85, 1
openmp, 12, 0.00761795, 692, 22, 0.05, 0.85, 1
openmp, 12, 0.0095849, 692, 22, 0.05, 0.85, 1
openmp, 13, 0.112789, 721, 22, 0.05, 0.85, 1
openmp, 13, 0.208582, 721, 22, 0.05, 0.85, 1
openmp, 13, 0.164035, 721, 22, 0.05, 0.85, 1
openmp, 13, 0.013824, 721, 22, 0.05, 0.85, 1
openmp, 13, 0.0122581, 721, 22, 0.05, 0.85, 1
openmp, 14, 0.071413, 748, 20, 0.05, 0.85, 1
openmp, 14, 0.0363889, 748, 20, 0.05, 0.85, 1
openmp, 14, 0.007339, 748, 20, 0.05, 0.85, 1
openmp, 14, 0.00885296, 748, 20, 0.05, 0.85, 1
openmp, 14, 0.00591302, 748, 20, 0.05, 0.85, 1
openmp, 15, 0.0224371, 774, 23, 0.05, 0.85, 1
openmp, 15, 0.00875688, 774, 23, 0.05, 0.85, 1
openmp, 15, 0.00854993, 774, 23, 0.05, 0.85, 1
openmp, 15, 0.209486, 774, 23, 0.05, 0.85, 1
openmp, 15, 0.00990605, 774, 23, 0.05, 0.85, 1
openmp, 16, 0.0215359, 800, 22, 0.05, 0.85, 1
openmp, 16, 0.011282, 800, 22, 0.05, 0.85, 1
openmp, 16, 0.0118229, 800, 22, 0.05, 0.85, 1
openmp, 16, 0.00865316, 800, 22, 0.05, 0.85, 1
openmp, 16, 0.0100799, 800, 22, 0.05, 0.85, 1
openmp, 17, 0.0148778, 824, 25, 0.05, 0.85, 1
openmp, 17, 0.018837, 824, 25, 0.05, 0.85, 1
openmp, 17, 0.135122, 824, 25, 0.05, 0.85, 1
openmp, 17, 0.0168622, 824, 25, 0.05, 0.85, 1
openmp, 17, 0.0117168, 824, 25, 0.05, 0.85, 1
openmp, 18, 0.38678, 848, 21, 0.05, 0.85, 1
openmp, 18, 0.0403831, 848, 21, 0.05, 0.85, 1
openmp, 18, 0.0213721, 848, 21, 0.05, 0.85, 1
openmp, 18, 0.209855, 848, 21, 0.05, 0.85, 1
openmp, 18, 0.216913, 848, 21, 0.05, 0.85, 1
openmp, 19, 0.210218, 871, 19, 0.05, 0.85, 1
openmp, 19, 0.204045, 871, 19, 0.05, 0.85, 1
openmp, 19, 0.207904, 871, 19, 0.05, 0.85, 1
openmp, 19, 0.203931, 871, 19, 0.05, 0.85, 1
openmp, 19, 0.0173161, 871, 19, 0.05, 0.85, 1
openmp, 20, 0.136633, 894, 23, 0.05, 0.85, 1
openmp, 20, 0.012187, 894, 23, 0.05, 0.85, 1
openmp, 20, 0.132374, 894, 23, 0.05, 0.85, 1
openmp, 20, 0.20676, 894, 23, 0.05, 0.85, 1
openmp, 20, 0.203971, 894, 23, 0.05, 0.85, 1
openmp, 21, 0.122356, 916, 21, 0.05, 0.85, 1
openmp, 21, 0.0807998, 916, 21, 0.05, 0.85, 1
openmp, 21, 0.211309, 916, 21, 0.05, 0.85, 1
openmp, 21, 0.0127552, 916, 21, 0.05, 0.85, 1
openmp, 21, 0.207997, 916, 21, 0.05, 0.85, 1
openmp, 22, 0.207925, 938, 19, 0.05, 0.85, 1
openmp, 22, 0.210812, 938, 19, 0.05, 0.85, 1
openmp, 22, 0.215457, 938, 19, 0.05, 0.85, 1
openmp, 22, 0.218992, 938, 19, 0.05, 0.85, 1
openmp, 22, 0.221374, 938, 19, 0.05, 0.85, 1
openmp, 23, 0.219765, 959, 22, 0.05, 0.85, 1
openmp, 23, 0.21274, 959, 22, 0.05, 0.85, 1
openmp, 23, 0.225059, 959, 22, 0.05, 0.85, 1
openmp, 23, 0.222735, 959, 22, 0.05, 0.85, 1
openmp, 23, 0.108248, 959, 22, 0.05, 0.85, 1
openmp, 24, 0.211411, 979, 25, 0.05, 0.85, 1
openmp, 24, 0.210521, 979, 25, 0.05, 0.85, 1
openmp, 24, 0.210257, 979, 25, 0.05, 0.85, 1
openmp, 24, 0.207701, 979, 25, 0.05, 0.85, 1
openmp, 24, 0.206499, 979, 25, 0.05, 0.85, 1
