openmp, cores, time, n, iterations, p, d, checksum
openmp, 1, 0.00850916, 200, 29, 0.05, 0.85, 1
openmp, 1, 0.0089891, 200, 29, 0.05, 0.85, 1
openmp, 1, 0.00861406, 200, 29, 0.05, 0.85, 1
openmp, 1, 0.00863194, 200, 29, 0.05, 0.85, 1
openmp, 1, 0.00961399, 200, 29, 0.05, 0.85, 1
openmp, 2, 0.00566721, 200, 33, 0.05, 0.85, 1
openmp, 2, 0.00532913, 200, 33, 0.05, 0.85, 1
openmp, 2, 0.00606298, 200, 33, 0.05, 0.85, 1
openmp, 2, 0.00542498, 200, 33, 0.05, 0.85, 1
openmp, 2, 0.00541401, 200, 33, 0.05, 0.85, 1
openmp, 3, 0.0043242, 200, 33, 0.05, 0.85, 1
openmp, 3, 0.00462794, 200, 33, 0.05, 0.85, 1
openmp, 3, 0.00445914, 200, 33, 0.05, 0.85, 1
openmp, 3, 0.00405717, 200, 33, 0.05, 0.85, 1
openmp, 3, 0.0059979, 200, 33, 0.05, 0.85, 1
openmp, 4, 0.00353599, 200, 33, 0.05, 0.85, 1
openmp, 4, 0.00560904, 200, 33, 0.05, 0.85, 1
openmp, 4, 0.091974, 200, 33, 0.05, 0.85, 1
openmp, 4, 0.0038619, 200, 33, 0.05, 0.85, 1
openmp, 4, 0.00401497, 200, 33, 0.05, 0.85, 1
openmp, 5, 0.00458312, 200, 33, 0.05, 0.85, 1
openmp, 5, 0.00436783, 200, 33, 0.05, 0.85, 1
openmp, 5, 0.00309205, 200, 33, 0.05, 0.85, 1
openmp, 5, 0.00440097, 200, 33, 0.05, 0.85, 1
openmp, 5, 0.00440311, 200, 33, 0.05, 0.85, 1
openmp, 6, 0.00429201, 200, 35, 0.05, 0.85, 1
openmp, 6, 0.00332403, 200, 35, 0.05, 0.85, 1
openmp, 6, 0.00593209, 200, 35, 0.05, 0.85, 1
openmp, 6, 0.00440097, 200, 35, 0.05, 0.85, 1
openmp, 6, 0.00434995, 200, 35, 0.05, 0.85, 1
openmp, 7, 0.00412703, 200, 36, 0.05, 0.85, 1
openmp, 7, 0.00466919, 200, 36, 0.05, 0.85, 1
openmp, 7, 0.00453806, 200, 36, 0.05, 0.85, 1
openmp, 7, 0.00541115, 200, 36, 0.05, 0.85, 1
openmp, 7, 0.00534391, 200, 36, 0.05, 0.85, 1
openmp, 8, 0.00436306, 200, 38, 0.05, 0.85, 1
openmp, 8, 0.00687003, 200, 38, 0.05, 0.85, 1
openmp, 8, 0.00460887, 200, 38, 0.05, 0.85, 1
openmp, 8, 0.00441194, 200, 38, 0.05, 0.85, 1
openmp, 8, 0.00399995, 200, 38, 0.05, 0.85, 1
openmp, 9, 0.004179, 200, 34, 0.05, 0.85, 1
openmp, 9, 0.00406194, 200, 34, 0.05, 0.85, 1
openmp, 9, 0.00495791, 200, 34, 0.05, 0.85, 1
openmp, 9, 0.00417185, 200, 34, 0.05, 0.85, 1
openmp, 9, 0.00514102, 200, 34, 0.05, 0.85, 1
openmp, 10, 0.00675607, 200, 33, 0.05, 0.85, 1
openmp, 10, 0.00668883, 200, 33, 0.05, 0.85, 1
openmp, 10, 0.00440812, 200, 33, 0.05, 0.85, 1
openmp, 10, 0.00474715, 200, 33, 0.05, 0.85, 1
openmp, 10, 0.00420904, 200, 33, 0.05, 0.85, 1
openmp, 11, 0.00489521, 200, 34, 0.05, 0.85, 1
openmp, 11, 0.00456405, 200, 34, 0.05, 0.85, 1
openmp, 11, 0.00759196, 200, 34, 0.05, 0.85, 1
openmp, 11, 0.00359297, 200, 34, 0.05, 0.85, 1
openmp, 11, 0.005481, 200, 34, 0.05, 0.85, 1
openmp, 12, 0.00464606, 200, 33, 0.05, 0.85, 1
openmp, 12, 0.00445104, 200, 33, 0.05, 0.85, 1
openmp, 12, 0.00343394, 200, 33, 0.05, 0.85, 1
openmp, 12, 0.00779605, 200, 33, 0.05, 0.85, 1
openmp, 12, 0.00722694, 200, 33, 0.05, 0.85, 1
openmp, 13, 0.00578618, 200, 38, 0.05, 0.85, 1
openmp, 13, 0.0150912, 200, 38, 0.05, 0.85, 1
openmp, 13, 0.208355, 200, 38, 0.05, 0.85, 1
openmp, 13, 0.204908, 200, 38, 0.05, 0.85, 1
openmp, 13, 0.203873, 200, 38, 0.05, 0.85, 1
openmp, 14, 0.207002, 200, 36, 0.05, 0.85, 1
openmp, 14, 0.00635004, 200, 36, 0.05, 0.85, 1
openmp, 14, 0.0104821, 200, 36, 0.05, 0.85, 1
openmp, 14, 0.00559497, 200, 36, 0.05, 0.85, 1
openmp, 14, 0.00565004, 200, 36, 0.05, 0.85, 1
openmp, 15, 0.0055778, 200, 37, 0.05, 0.85, 1
openmp, 15, 0.013387, 200, 37, 0.05, 0.85, 1
openmp, 15, 0.00943899, 200, 37, 0.05, 0.85, 1
openmp, 15, 0.00558782, 200, 37, 0.05, 0.85, 1
openmp, 15, 0.00745487, 200, 37, 0.05, 0.85, 1
openmp, 16, 0.00817585, 200, 33, 0.05, 0.85, 1
openmp, 16, 0.0107279, 200, 33, 0.05, 0.85, 1
openmp, 16, 0.00444698, 200, 33, 0.05, 0.85, 1
openmp, 16, 0.00639701, 200, 33, 0.05, 0.85, 1
openmp, 16, 0.00559902, 200, 33, 0.05, 0.85, 1
openmp, 17, 0.0107009, 200, 37, 0.05, 0.85, 1
openmp, 17, 0.00742102, 200, 37, 0.05, 0.85, 1
openmp, 17, 0.00512791, 200, 37, 0.05, 0.85, 1
openmp, 17, 0.011606, 200, 37, 0.05, 0.85, 1
openmp, 17, 0.0105388, 200, 37, 0.05, 0.85, 1
openmp, 18, 0.0082581, 200, 35, 0.05, 0.85, 1
openmp, 18, 0.010464, 200, 35, 0.05, 0.85, 1
openmp, 18, 0.00744319, 200, 35, 0.05, 0.85, 1
openmp, 18, 0.0392661, 200, 35, 0.05, 0.85, 1
openmp, 18, 0.00735784, 200, 35, 0.05, 0.85, 1
openmp, 19, 0.014359, 200, 36, 0.05, 0.85, 1
openmp, 19, 0.209576, 200, 36, 0.05, 0.85, 1
openmp, 19, 0.010931, 200, 36, 0.05, 0.85, 1
openmp, 19, 0.0202861, 200, 36, 0.05, 0.85, 1
openmp, 19, 0.0145462, 200, 36, 0.05, 0.85, 1
openmp, 20, 0.0621979, 200, 33, 0.05, 0.85, 1
openmp, 20, 0.00956106, 200, 33, 0.05, 0.85, 1
openmp, 20, 0.00671911, 200, 33, 0.05, 0.85, 1
openmp, 20, 0.0722339, 200, 33, 0.05, 0.85, 1
openmp, 20, 0.130235, 200, 33, 0.05, 0.85, 1
openmp, 21, 0.00998616, 200, 38, 0.05, 0.85, 1
openmp, 21, 0.0152881, 200, 38, 0.05, 0.85, 1
openmp, 21, 0.0134499, 200, 38, 0.05, 0.85, 1
openmp, 21, 0.0123019, 200, 38, 0.05, 0.85, 1
openmp, 21, 0.010519, 200, 38, 0.05, 0.85, 1
openmp, 22, 0.206964, 200, 35, 0.05, 0.85, 1
openmp, 22, 0.0113389, 200, 35, 0.05, 0.85, 1
openmp, 22, 0.0802331, 200, 35, 0.05, 0.85, 1
openmp, 22, 0.133794, 200, 35, 0.05, 0.85, 1
openmp, 22, 0.203337, 200, 35, 0.05, 0.85, 1
openmp, 23, 0.206659, 200, 36, 0.05, 0.85, 1
openmp, 23, 0.00931001, 200, 36, 0.05, 0.85, 1
openmp, 23, 0.010504, 200, 36, 0.05, 0.85, 1
