openmp, cores, time, n, iterations, p, d, checksum
openmp, 1, 0.00934601, 200, 29, 0.05, 0.85, 1
openmp, 1, 0.00857902, 200, 29, 0.05, 0.85, 1
openmp, 1, 0.00861692, 200, 29, 0.05, 0.85, 1
openmp, 1, 0.00842595, 200, 29, 0.05, 0.85, 1
openmp, 1, 0.00843501, 200, 29, 0.05, 0.85, 1
openmp, 2, 0.014627, 282, 27, 0.05, 0.85, 1
openmp, 2, 0.014065, 282, 27, 0.05, 0.85, 1
openmp, 2, 0.0140488, 282, 27, 0.05, 0.85, 1
openmp, 2, 0.0140281, 282, 27, 0.05, 0.85, 1
openmp, 2, 0.0144539, 282, 27, 0.05, 0.85, 1
openmp, 3, 0.0225451, 346, 26, 0.05, 0.85, 1
openmp, 3, 0.0224969, 346, 26, 0.05, 0.85, 1
openmp, 3, 0.022552, 346, 26, 0.05, 0.85, 1
openmp, 3, 0.022522, 346, 26, 0.05, 0.85, 1
openmp, 3, 0.022537, 346, 26, 0.05, 0.85, 1
openmp, 4, 0.0301819, 400, 26, 0.05, 0.85, 1
openmp, 4, 0.030452, 400, 26, 0.05, 0.85, 1
openmp, 4, 0.034781, 400, 26, 0.05, 0.85, 1
openmp, 4, 0.037138, 400, 26, 0.05, 0.85, 1
openmp, 4, 0.030772, 400, 26, 0.05, 0.85, 1
openmp, 5, 0.0351989, 447, 26, 0.05, 0.85, 1
openmp, 5, 0.0352259, 447, 26, 0.05, 0.85, 1
openmp, 5, 0.0389681, 447, 26, 0.05, 0.85, 1
openmp, 5, 0.0350449, 447, 26, 0.05, 0.85, 1
openmp, 5, 0.0375071, 447, 26, 0.05, 0.85, 1
openmp, 6, 0.0659192, 489, 24, 0.05, 0.85, 1
openmp, 6, 0.0694721, 489, 24, 0.05, 0.85, 1
openmp, 6, 0.0653889, 489, 24, 0.05, 0.85, 1
openmp, 6, 0.0632441, 489, 24, 0.05, 0.85, 1
openmp, 6, 0.0730071, 489, 24, 0.05, 0.85, 1
openmp, 7, 0.313494, 529, 32, 0.05, 0.85, 1
openmp, 7, 0.056767, 529, 32, 0.05, 0.85, 1
openmp, 7, 0.0597272, 529, 32, 0.05, 0.85, 1
openmp, 7, 0.0562508, 529, 32, 0.05, 0.85, 1
openmp, 7, 0.056869, 529, 32, 0.05, 0.85, 1
openmp, 8, 0.056756, 565, 28, 0.05, 0.85, 1
openmp, 8, 0.095892, 565, 28, 0.05, 0.85, 1
openmp, 8, 0.269226, 565, 28, 0.05, 0.85, 1
openmp, 8, 0.0730801, 565, 28, 0.05, 0.85, 1
openmp, 8, 0.056807, 565, 28, 0.05, 0.85, 1
openmp, 9, 0.0613658, 600, 27, 0.05, 0.85, 1
openmp, 9, 0.0633001, 600, 27, 0.05, 0.85, 1
openmp, 9, 0.267213, 600, 27, 0.05, 0.85, 1
openmp, 9, 0.307883, 600, 27, 0.05, 0.85, 1
openmp, 9, 0.317069, 600, 27, 0.05, 0.85, 1
openmp, 10, 0.291751, 632, 23, 0.05, 0.85, 1
openmp, 10, 0.120408, 632, 23, 0.05, 0.85, 1
openmp, 10, 0.287317, 632, 23, 0.05, 0.85, 1
openmp, 10, 0.292607, 632, 23, 0.05, 0.85, 1
openmp, 10, 0.290415, 632, 23, 0.05, 0.85, 1
openmp, 11, 0.328557, 663, 24, 0.05, 0.85, 1
openmp, 11, 0.167452, 663, 24, 0.05, 0.85, 1
openmp, 11, 0.268668, 663, 24, 0.05, 0.85, 1
openmp, 11, 0.27997, 663, 24, 0.05, 0.85, 1
openmp, 11, 0.103043, 663, 24, 0.05, 0.85, 1
openmp, 12, 0.0991399, 692, 25, 0.05, 0.85, 1
openmp, 12, 0.117547, 692, 25, 0.05, 0.85, 1
openmp, 12, 0.118104, 692, 25, 0.05, 0.85, 1
openmp, 12, 0.320417, 692, 25, 0.05, 0.85, 1
openmp, 12, 0.120724, 692, 25, 0.05, 0.85, 1
openmp, 13, 0.111498, 721, 23, 0.05, 0.85, 1
