openmp, cores, time, n, iterations, p, d, checksum
openmp, 1, 0.00858307, 200, 29, 0.05, 0.85, 1
openmp, 1, 0.00887203, 200, 29, 0.05, 0.85, 1
openmp, 1, 0.00832987, 200, 29, 0.05, 0.85, 1
openmp, 1, 0.00831103, 200, 29, 0.05, 0.85, 1
openmp, 1, 0.00891709, 200, 29, 0.05, 0.85, 1
openmp, 2, 0.014384, 282, 27, 0.05, 0.85, 1
openmp, 2, 0.016752, 282, 27, 0.05, 0.85, 1
openmp, 2, 0.014842, 282, 27, 0.05, 0.85, 1
openmp, 2, 0.0150509, 282, 27, 0.05, 0.85, 1
openmp, 2, 0.0146968, 282, 27, 0.05, 0.85, 1
openmp, 3, 0.0226111, 346, 26, 0.05, 0.85, 1
openmp, 3, 0.0220649, 346, 26, 0.05, 0.85, 1
openmp, 3, 0.0223911, 346, 26, 0.05, 0.85, 1
openmp, 3, 0.022357, 346, 26, 0.05, 0.85, 1
openmp, 3, 0.022222, 346, 26, 0.05, 0.85, 1
openmp, 4, 0.029741, 400, 26, 0.05, 0.85, 1
openmp, 4, 0.0299768, 400, 26, 0.05, 0.85, 1
openmp, 4, 0.0538909, 400, 26, 0.05, 0.85, 1
openmp, 4, 0.029223, 400, 26, 0.05, 0.85, 1
openmp, 4, 0.0550101, 400, 26, 0.05, 0.85, 1
openmp, 5, 0.0618198, 447, 26, 0.05, 0.85, 1
openmp, 5, 0.0621738, 447, 26, 0.05, 0.85, 1
openmp, 5, 0.0635638, 447, 26, 0.05, 0.85, 1
openmp, 5, 0.0623541, 447, 26, 0.05, 0.85, 1
openmp, 5, 0.034956, 447, 26, 0.05, 0.85, 1
openmp, 6, 0.0638971, 489, 24, 0.05, 0.85, 1
openmp, 6, 0.0653589, 489, 24, 0.05, 0.85, 1
openmp, 6, 0.06918, 489, 24, 0.05, 0.85, 1
openmp, 6, 0.068748, 489, 24, 0.05, 0.85, 1
openmp, 6, 0.0361192, 489, 24, 0.05, 0.85, 1
openmp, 7, 0.274803, 529, 32, 0.05, 0.85, 1
openmp, 7, 0.099071, 529, 32, 0.05, 0.85, 1
openmp, 7, 0.200894, 529, 32, 0.05, 0.85, 1
openmp, 7, 0.0867441, 529, 32, 0.05, 0.85, 1
openmp, 7, 0.102001, 529, 32, 0.05, 0.85, 1
openmp, 8, 0.097048, 565, 28, 0.05, 0.85, 1
openmp, 8, 0.0603671, 565, 28, 0.05, 0.85, 1
openmp, 8, 0.057812, 565, 28, 0.05, 0.85, 1
openmp, 8, 0.05861, 565, 28, 0.05, 0.85, 1
openmp, 8, 0.0579488, 565, 28, 0.05, 0.85, 1
openmp, 9, 0.100557, 600, 27, 0.05, 0.85, 1
openmp, 9, 0.340712, 600, 27, 0.05, 0.85, 1
openmp, 9, 0.107725, 600, 27, 0.05, 0.85, 1
openmp, 9, 0.0986862, 600, 27, 0.05, 0.85, 1
openmp, 9, 0.100606, 600, 27, 0.05, 0.85, 1
openmp, 10, 0.0919881, 632, 23, 0.05, 0.85, 1
openmp, 10, 0.259042, 632, 23, 0.05, 0.85, 1
openmp, 10, 0.260256, 632, 23, 0.05, 0.85, 1
openmp, 10, 0.058871, 632, 23, 0.05, 0.85, 1
openmp, 10, 0.057709, 632, 23, 0.05, 0.85, 1
openmp, 11, 0.0626371, 663, 24, 0.05, 0.85, 1
openmp, 11, 0.0622602, 663, 24, 0.05, 0.85, 1
openmp, 11, 0.104214, 663, 24, 0.05, 0.85, 1
openmp, 11, 0.110368, 663, 24, 0.05, 0.85, 1
openmp, 11, 0.0713689, 663, 24, 0.05, 0.85, 1
openmp, 12, 0.115359, 692, 25, 0.05, 0.85, 1
openmp, 12, 0.321862, 692, 25, 0.05, 0.85, 1
openmp, 12, 0.314785, 692, 25, 0.05, 0.85, 1
openmp, 12, 0.112077, 692, 25, 0.05, 0.85, 1
openmp, 12, 0.0728011, 692, 25, 0.05, 0.85, 1
openmp, 13, 0.110809, 721, 23, 0.05, 0.85, 1
openmp, 13, 0.115379, 721, 23, 0.05, 0.85, 1
openmp, 13, 0.0969319, 721, 23, 0.05, 0.85, 1
openmp, 13, 0.181346, 721, 23, 0.05, 0.85, 1
openmp, 13, 0.0999899, 721, 23, 0.05, 0.85, 1
openmp, 14, 0.134296, 748, 24, 0.05, 0.85, 1
openmp, 14, 0.135252, 748, 24, 0.05, 0.85, 1
openmp, 14, 0.131, 748, 24, 0.05, 0.85, 1
openmp, 14, 0.137855, 748, 24, 0.05, 0.85, 1
openmp, 14, 0.124165, 748, 24, 0.05, 0.85, 1
openmp, 15, 0.139507, 774, 23, 0.05, 0.85, 1
openmp, 15, 0.140881, 774, 23, 0.05, 0.85, 1
openmp, 15, 0.13554, 774, 23, 0.05, 0.85, 1
openmp, 15, 0.125141, 774, 23, 0.05, 0.85, 1
openmp, 15, 0.319992, 774, 23, 0.05, 0.85, 1
openmp, 16, 0.202867, 800, 28, 0.05, 0.85, 1
openmp, 16, 0.202628, 800, 28, 0.05, 0.85, 1
openmp, 16, 0.201406, 800, 28, 0.05, 0.85, 1
openmp, 16, 0.217944, 800, 28, 0.05, 0.85, 1
openmp, 16, 0.153763, 800, 28, 0.05, 0.85, 1
openmp, 17, 0.31635, 824, 21, 0.05, 0.85, 1
openmp, 17, 0.340052, 824, 21, 0.05, 0.85, 1
openmp, 17, 0.432693, 824, 21, 0.05, 0.85, 1
openmp, 17, 0.215849, 824, 21, 0.05, 0.85, 1
openmp, 17, 0.450679, 824, 21, 0.05, 0.85, 1
openmp, 18, 0.772645, 848, 26, 0.05, 0.85, 1
openmp, 18, 0.539652, 848, 26, 0.05, 0.85, 1
openmp, 18, 0.551958, 848, 26, 0.05, 0.85, 1
openmp, 18, 0.1589, 848, 26, 0.05, 0.85, 1
openmp, 18, 0.688355, 848, 26, 0.05, 0.85, 1
openmp, 19, 0.800774, 871, 27, 0.05, 0.85, 1
openmp, 19, 1.16556, 871, 27, 0.05, 0.85, 1
openmp, 19, 0.410149, 871, 27, 0.05, 0.85, 1
openmp, 19, 0.827084, 871, 27, 0.05, 0.85, 1
openmp, 19, 0.808329, 871, 27, 0.05, 0.85, 1
openmp, 20, 0.307898, 894, 23, 0.05, 0.85, 1
openmp, 20, 0.818879, 894, 23, 0.05, 0.85, 1
openmp, 20, 1.32013, 894, 23, 0.05, 0.85, 1
openmp, 20, 0.181691, 894, 23, 0.05, 0.85, 1
openmp, 20, 0.143156, 894, 23, 0.05, 0.85, 1
openmp, 21, 0.429321, 916, 21, 0.05, 0.85, 1
openmp, 21, 0.861093, 916, 21, 0.05, 0.85, 1
openmp, 21, 0.133082, 916, 21, 0.05, 0.85, 1
openmp, 21, 0.852301, 916, 21, 0.05, 0.85, 1
openmp, 21, 0.369042, 916, 21, 0.05, 0.85, 1
openmp, 22, 0.418579, 938, 28, 0.05, 0.85, 1
openmp, 22, 0.341749, 938, 28, 0.05, 0.85, 1
openmp, 22, 1.00839, 938, 28, 0.05, 0.85, 1
openmp, 22, 0.645814, 938, 28, 0.05, 0.85, 1
openmp, 22, 1.25027, 938, 28, 0.05, 0.85, 1
openmp, 23, 0.369583, 959, 23, 0.05, 0.85, 1
openmp, 23, 0.3304, 959, 23, 0.05, 0.85, 1
openmp, 23, 0.771303, 959, 23, 0.05, 0.85, 1
openmp, 23, 0.328896, 959, 23, 0.05, 0.85, 1
openmp, 23, 0.337387, 959, 23, 0.05, 0.85, 1
openmp, 24, 0.392795, 979, 22, 0.05, 0.85, 1
openmp, 24, 0.886814, 979, 22, 0.05, 0.85, 1
openmp, 24, 0.264862, 979, 22, 0.05, 0.85, 1
openmp, 24, 0.347386, 979, 22, 0.05, 0.85, 1
openmp, 24, 0.402873, 979, 22, 0.05, 0.85, 1
